timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-01 01:47:48 AM,55.93,red,42.36,11.56,-4.4,19.87
2025-08-01 01:48:08 AM,55.91,red,33.13,-1.28,-35.25,-40.87
2025-08-01 01:49:10 AM,55.89,red,40.49,20.62,-5.75,-11.11
2025-08-01 01:50:08 AM,55.92,red,7.9,-24.16,41.43,26.23
2025-08-01 01:51:09 AM,55.95,red,46.71,-38.46,48.49,44.39
2025-08-01 01:52:09 AM,55.98,red,19.59,51.0,47.53,0.04
2025-08-01 01:53:09 AM,56.03,red,10.71,-15.53,38.37,24.91
2025-08-01 01:54:09 AM,56.07,red,19.04,-36.76,2.79,11.82
2025-08-01 01:55:10 AM,56.05,red,-35.41,46.87,25.59,-41.72
2025-08-01 01:56:10 AM,56.03,red,-35.26,31.57,31.88,11.41
2025-08-01 01:57:18 AM,56.01,red,-22.28,40.07,-39.93,-5.89
2025-08-25 04:39:20 AM,34.71,red,-31.06,-28.3,-55.39,-42.82
2025-08-25 04:39:20 AM,32.63,red,16.25,16.15,-34.5,-40.42
2025-09-07 11:23:18 PM,24.31,red,-27.4,-63.63,-11.26,-7.35
2025-09-07 11:23:20 PM,22.69,red,-51.76,21.95,9.4,18.97
2025-09-07 11:23:30 PM,22.06,red,3.35,-56.1,-26.14,-19.83
2025-09-07 11:35:09 PM,29.21,red,-23.45,-33.87,-47.72,-66.82
2025-09-08 01:48:30 AM,20.64,red,-16.66,-53.68,-56.35,-14.73
2025-09-08 01:48:40 AM,18.97,red,-22.3,-3.62,-39.51,-71.63
2025-09-08 01:48:50 AM,17.11,red,-50.89,-74.04,-30.55,-11.12
2025-09-08 01:49:00 AM,15.75,red,-30.54,-17.1,-19.8,-81.85
2025-09-08 01:49:10 AM,14.67,red,0.39,-82.72,-68.24,-8.74
2025-09-08 01:49:20 AM,13.45,red,-24.95,-15.12,-24.77,-51.94
