timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-09 05:14:51 PM,62.19,green,30.35,6.55,24.21,-32.17
2025-09-09 05:15:02 PM,63.22,green,26.27,15.74,48.53,-28.11
2025-09-09 05:15:12 PM,64.65,green,17.47,48.57,-3.2,-25.39
2025-09-09 05:15:22 PM,65.65,green,3.73,33.8,-23.29,55.26
2025-09-09 05:15:32 PM,67.98,green,15.31,45.81,-2.18,-25.2
2025-09-09 05:15:42 PM,70.26,green,68.1,37.34,28.65,30.0
2025-09-09 05:15:52 PM,71.87,green,37.02,61.48,-17.41,64.02
2025-09-09 05:16:02 PM,73.97,green,-22.92,54.25,61.87,-14.75
2025-09-09 05:16:12 PM,75.99,green,48.11,47.79,63.44,46.76
2025-09-09 05:16:22 PM,78.31,green,-15.59,22.61,65.86,62.68
2025-09-09 05:16:32 PM,79.33,green,10.58,4.2,-8.12,14.91
2025-09-09 05:16:42 PM,80.53,green,60.91,51.54,63.94,38.38
2025-09-09 05:22:10 PM,41.66,green,1.62,-5.38,-20.54,-56.26
2025-09-09 05:22:10 PM,43.67,green,33.58,21.86,34.91,14.58
2025-09-09 05:22:21 PM,44.72,green,-1.25,-31.47,-17.16,-46.41
2025-09-09 05:22:31 PM,45.22,green,5.13,2.99,-49.82,-45.21
2025-09-09 05:22:41 PM,47.63,green,-13.79,11.14,-4.85,-41.88
2025-09-09 05:22:51 PM,49.18,green,37.94,-39.46,-8.7,29.32
2025-09-09 05:23:01 PM,49.88,green,13.83,-28.47,10.4,-30.88
2025-09-09 05:23:11 PM,51.53,green,10.97,-2.94,-45.83,5.13
2025-09-09 05:23:21 PM,53.34,green,47.64,29.53,-19.61,-42.17
2025-09-09 05:23:31 PM,55.76,green,-29.52,8.89,-24.08,31.83
2025-09-09 05:23:41 PM,57.67,green,46.79,-28.36,38.62,17.18
2025-09-09 05:23:51 PM,58.83,green,-3.81,26.4,-26.55,43.64
2025-09-09 05:24:01 PM,60.43,green,-19.8,-13.16,-19.68,-3.7
2025-09-09 05:24:11 PM,62.83,green,47.95,-25.59,32.07,-21.49
2025-09-09 05:24:21 PM,63.36,green,38.9,-6.4,-13.87,12.76
2025-09-09 05:24:31 PM,65.48,green,61.02,2.11,-0.29,17.3
2025-09-09 05:24:41 PM,66.97,green,20.76,61.62,23.58,19.14
2025-09-09 05:24:51 PM,68.73,green,1.88,-24.0,29.29,49.6
2025-09-09 05:25:01 PM,69.56,green,4.82,57.65,8.39,47.86
2025-09-09 05:25:11 PM,70.86,green,13.51,65.11,-19.62,44.98
2025-09-09 05:25:21 PM,73.2,green,46.95,-15.92,-3.62,25.65
2025-09-09 05:25:31 PM,74.44,green,-19.64,20.34,-8.23,24.2
2025-09-09 05:25:41 PM,76.21,green,38.77,-4.47,-3.82,-21.84
2025-09-09 05:25:51 PM,76.8,green,31.92,26.56,39.41,-16.14
2025-09-09 05:26:01 PM,78.33,green,-7.67,-1.14,52.04,74.17
2025-09-09 05:26:11 PM,79.5,green,59.03,12.93,7.82,22.13
2025-09-09 05:26:21 PM,80.6,green,75.84,38.67,64.31,37.7
2025-09-09 05:27:48 PM,92.21,green,27.11,5.57,87.37,25.91
2025-09-09 05:27:50 PM,93.93,green,54.75,2.15,31.39,32.33
2025-09-09 05:28:01 PM,95.2,green,26.89,27.25,63.62,18.26
2025-09-09 05:28:11 PM,96.4,green,34.72,34.57,89.0,28.43
2025-09-09 05:28:21 PM,97.17,green,14.7,42.76,46.52,12.48
2025-09-09 05:28:31 PM,99.64,green,7.65,80.29,11.83,5.19
2025-09-09 05:28:41 PM,100,green,32.61,12.03,15.32,25.63
2025-09-09 05:28:51 PM,21.26,red,-64.22,-59.05,-39.37,-57.44
2025-09-09 05:29:01 PM,23.39,green,14.04,-2.77,-37.57,-10.22
2025-09-09 05:29:11 PM,25.33,green,-3.01,22.94,-28.64,12.15
2025-09-09 05:29:21 PM,26.2,green,-1.7,-66.84,2.88,9.71
2025-09-09 05:29:31 PM,26.94,green,-32.57,-31.1,-72.53,-37.7
2025-09-09 05:29:41 PM,29.01,green,-30.96,-46.24,19.41,-32.86
2025-09-09 05:29:51 PM,31.36,green,-35.87,-54.92,28.35,-41.25
2025-09-09 05:30:01 PM,33.12,green,-16.89,-9.15,-62.48,14.83
2025-09-09 05:30:11 PM,35.48,green,-32.35,-4.1,-1.02,-58.56
