timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-05 04:04:28 AM,71.36,red,-21.75,7.87,37.45,47.22
2025-08-05 04:05:08 AM,71.34,red,40.59,28.56,-8.91,11.69
2025-08-05 04:06:00 AM,71.39,red,65.38,9.51,6.46,37.02
2025-08-05 04:07:10 AM,71.44,red,31.73,13.77,-1.91,27.16
2025-08-05 04:08:08 AM,71.45,red,57.1,66.28,-12.58,-27.53
2025-08-05 04:09:00 AM,71.45,red,14.79,-3.94,-5.72,-5.95
2025-08-10 04:13:28 AM,34.48,red,-10.18,-63.68,-47.12,-2.53
2025-08-10 04:14:08 AM,34.46,red,9.77,-27.88,-5.91,-0.63
2025-08-10 04:15:08 AM,34.44,red,-11.45,9.73,-9.72,-34.03
2025-08-10 04:16:10 AM,34.42,red,-31.67,2.27,-29.58,2.91
2025-08-14 12:35:58 PM,39.9,red,-53.56,14.0,-50.73,23.33
2025-08-14 12:36:00 PM,39.73,red,-57.21,-35.29,9.73,-18.02
2025-08-14 12:36:11 PM,42.16,red,-23.15,11.77,-29.09,41.4
2025-08-14 12:36:21 PM,42.27,red,30.42,-35.9,-30.5,-16.51
2025-08-14 12:36:31 PM,43.89,red,-3.97,9.1,-46.41,17.4
2025-08-14 12:36:41 PM,45.21,red,-30.14,-11.79,-24.76,-19.21
2025-08-14 12:36:51 PM,44.95,red,-23.87,36.26,-20.0,-36.1
2025-08-14 12:37:01 PM,45.84,red,-2.64,-19.03,-44.82,-0.12
2025-08-14 12:37:11 PM,47.91,red,7.74,31.09,-6.79,-28.09
2025-08-14 12:37:21 PM,47.89,red,-39.6,-28.64,-50.53,-34.18
2025-08-14 12:37:31 PM,50.23,red,30.05,-22.89,-31.82,40.18
2025-08-14 12:37:41 PM,50.69,red,6.2,-48.15,41.63,-38.87
2025-08-14 12:37:51 PM,51.61,red,-0.7,18.6,44.16,-24.19
2025-08-14 12:38:01 PM,52.41,red,40.78,1.09,-35.47,-11.42
2025-08-14 12:38:11 PM,54.65,red,-15.44,-37.28,-9.39,-20.11
2025-08-14 12:38:21 PM,56.82,red,-40.5,-11.62,47.74,43.58
2025-08-14 12:38:31 PM,58.35,red,-20.36,6.61,44.01,-30.36
2025-08-14 12:38:41 PM,60.15,red,-20.38,6.91,54.63,-0.85
2025-08-14 12:38:51 PM,61.5,red,31.48,-11.6,45.09,-17.35
2025-08-14 12:39:01 PM,61.18,red,-23.56,45.15,9.55,12.83
2025-08-14 12:39:11 PM,60.78,red,26.95,-17.77,1.13,-10.14
2025-08-14 12:39:21 PM,62.07,red,55.93,30.18,60.05,55.63
2025-08-14 12:39:31 PM,62.15,red,59.82,16.29,-33.43,50.02
2025-08-14 12:39:41 PM,62.07,red,5.22,21.98,-36.74,33.04
2025-08-14 12:39:51 PM,61.62,red,29.4,-28.48,-32.22,-38.32
2025-08-14 12:40:01 PM,61.78,red,-25.87,6.17,-19.1,-6.84
2025-08-14 12:40:11 PM,61.72,red,-22.52,51.04,0.99,57.37
2025-08-14 12:40:21 PM,61.3,red,-3.83,53.75,-30.08,36.03
2025-08-14 12:40:31 PM,62.78,red,-7.26,-9.03,7.0,-32.66
2025-08-14 12:40:41 PM,62.66,red,12.28,47.95,24.85,8.12
2025-08-14 12:40:51 PM,64.07,red,-15.77,-11.48,-3.87,11.84
2025-08-14 12:41:01 PM,64.59,red,20.89,27.13,23.96,-2.85
2025-08-14 12:41:11 PM,66.12,red,15.84,-28.71,0.41,37.56
2025-08-14 12:41:21 PM,66.99,red,31.24,19.64,65.19,20.48
2025-08-14 12:41:31 PM,66.87,red,-6.56,-8.2,65.48,13.3
2025-08-14 12:41:41 PM,67.54,red,-23.41,58.04,39.26,14.41
2025-08-14 12:41:51 PM,67.91,red,61.53,-13.41,-8.0,-16.36
2025-08-14 12:42:01 PM,67.98,red,44.7,-3.34,30.92,-13.56
2025-08-14 12:42:11 PM,69.36,red,3.74,27.01,-20.17,-27.04
2025-08-14 12:42:21 PM,71.86,red,57.05,20.81,68.46,10.84
2025-08-14 12:42:31 PM,72.62,red,-10.22,-20.85,-13.94,21.02
2025-08-14 12:42:41 PM,74.12,red,62.3,-2.24,51.98,8.55
2025-08-14 12:42:51 PM,76.4,red,37.41,32.09,34.74,16.88
2025-08-14 12:43:01 PM,76.45,red,6.78,39.09,11.26,70.71
2025-08-14 12:43:11 PM,76.79,red,22.28,-3.75,-13.51,30.74
2025-08-14 12:43:21 PM,78.02,red,-20.41,-6.59,40.52,29.64
2025-08-14 12:43:31 PM,79.53,red,-7.43,73.88,55.82,39.38
2025-08-14 12:43:41 PM,79.5,red,-1.53,69.93,24.26,7.18
2025-08-14 12:43:51 PM,81.12,red,-6.07,-10.07,36.22,57.49
2025-08-14 12:44:01 PM,80.75,red,59.84,24.47,66.08,16.4
2025-08-14 12:44:11 PM,83.13,red,-11.41,56.4,13.01,-5.11
2025-08-14 12:44:21 PM,84.97,red,25.54,60.05,70.96,33.24
2025-08-14 12:44:31 PM,86.16,red,-8.27,14.06,74.19,46.98
2025-08-14 12:44:41 PM,88.45,red,60.67,57.44,25.73,75.21
2025-08-14 12:44:51 PM,90.04,red,24.39,30.55,33.02,38.14
2025-08-14 12:45:01 PM,89.56,red,75.55,79.27,27.26,21.31
2025-08-14 12:45:11 PM,91.78,red,24.15,48.05,66.73,80.92
2025-08-14 12:45:21 PM,91.75,red,70.42,89.56,43.42,5.56
2025-08-14 12:45:31 PM,93.88,red,42.61,29.33,80.69,78.01
2025-08-14 12:45:41 PM,96.17,red,92.55,65.95,0.9,75.62
2025-08-14 12:45:51 PM,96.02,red,50.88,12.56,76.72,11.21
2025-08-14 12:46:01 PM,95.8,red,20.87,90.27,67.03,59.87
2025-08-14 12:46:11 PM,97.07,red,-0.75,78.61,68.47,38.09
2025-08-14 12:46:21 PM,96.9,red,46.42,45.57,19.16,92.8
2025-08-14 12:46:31 PM,98.57,red,21.53,83.94,86.68,38.08
2025-08-14 12:46:41 PM,100,red,89.03,61.1,98.3,45.04
2025-08-14 12:46:51 PM,48.67,red,-28.96,23.23,-4.36,-37.72
2025-08-14 12:47:01 PM,50.75,red,43.49,-31.35,-44.27,10.05
2025-08-14 12:47:11 PM,52.05,red,35.63,9.15,27.05,-47.71
2025-08-14 12:47:21 PM,52.95,red,-31.51,46.4,-28.43,-32.85
2025-08-14 12:47:31 PM,55.38,red,51.18,22.57,-4.43,-6.37
2025-08-14 12:47:41 PM,57.06,red,-28.34,51.57,49.28,40.58
2025-08-14 12:47:51 PM,58.05,red,2.69,51.71,15.6,-13.75
2025-08-14 12:48:01 PM,58.65,red,5.38,35.29,-16.37,-38.0
2025-08-14 12:48:11 PM,60.31,red,7.69,56.61,36.25,13.36
2025-08-14 12:48:21 PM,62.77,red,-18.7,12.95,-12.32,55.68
2025-08-14 12:48:31 PM,64.17,red,63.11,6.22,52.89,-2.3
2025-08-14 12:48:41 PM,65.96,red,-22.2,15.86,-14.37,-19.56
2025-08-14 12:48:51 PM,67.27,red,-11.99,-2.7,36.19,-15.94
2025-08-14 12:49:01 PM,68.87,red,-20.24,53.22,-22.59,21.38
2025-08-14 12:49:11 PM,70.28,red,64.41,-10.68,43.87,58.93
2025-08-14 12:49:21 PM,72.48,red,31.31,61.72,53.64,58.7
2025-08-14 12:49:31 PM,73.76,red,24.43,38.32,60.44,31.3
2025-08-14 12:49:41 PM,74.6,red,18.1,-11.77,55.11,58.21
2025-08-14 12:49:51 PM,76.66,red,-12.09,59.92,7.48,34.85
2025-08-14 12:50:01 PM,78.36,red,-18.29,52.97,5.5,78.25
2025-08-14 12:50:11 PM,80.21,red,38.22,64.82,23.54,52.91
2025-08-14 12:50:21 PM,81.7,red,69.51,73.47,24.76,35.35
2025-08-14 12:50:31 PM,83.57,red,5.15,21.63,57.75,-15.92
2025-08-14 12:50:41 PM,85.5,red,4.36,80.13,19.29,84.94
2025-08-14 12:50:51 PM,87.91,red,-10.38,-3.55,61.02,17.29
2025-08-14 12:51:01 PM,88.9,red,47.94,14.91,62.03,26.2
2025-08-14 12:51:11 PM,89.88,red,59.3,-4.37,89.08,71.88
2025-08-14 12:51:21 PM,90.5,red,70.01,28.82,67.22,58.08
2025-08-14 12:51:31 PM,92.19,red,54.33,50.74,30.19,44.41
2025-08-14 12:51:41 PM,94.37,red,64.89,73.1,54.6,70.24
2025-08-14 12:51:51 PM,95.53,red,35.27,10.67,94.79,81.05
2025-08-14 12:52:01 PM,97.32,red,88.26,18.01,92.02,10.06
2025-08-14 12:52:11 PM,98.65,red,54.21,45.42,58.96,51.4
2025-08-14 12:52:21 PM,99.38,red,86.49,57.57,8.34,74.13
2025-08-14 12:52:31 PM,100,red,39.69,92.45,29.7,50.26
2025-08-14 12:52:41 PM,30.11,red,5.02,-65.39,-64.53,-48.07
2025-08-14 12:52:51 PM,30.74,red,-50.62,21.56,26.64,-67.24
2025-08-14 12:53:01 PM,31.77,red,-23.37,21.56,-47.63,-42.48
2025-08-14 12:53:11 PM,32.68,red,-26.81,-46.94,-61.16,-61.93
2025-08-14 12:53:21 PM,33.86,red,-62.49,-42.2,22.32,22.81
2025-08-14 12:53:31 PM,35.56,red,-41.6,-5.25,6.89,-1.92
2025-08-14 12:53:41 PM,37.43,red,-38.78,-38.14,26.43,1.46
2025-08-14 12:53:51 PM,38.65,red,-12.22,-51.51,-15.39,32.81
2025-08-14 12:54:01 PM,40.32,red,17.34,34.48,-43.52,3.2
2025-08-14 12:54:11 PM,41.57,red,-9.37,35.23,-9.88,15.93
2025-08-14 12:54:21 PM,43.39,red,-2.85,33.86,-54.58,-48.06
2025-08-14 12:54:31 PM,45.86,red,9.06,-21.12,41.73,-7.97
2025-08-14 12:54:41 PM,48.08,red,-49.77,31.0,40.19,-17.37
2025-08-14 12:54:51 PM,49.07,red,38.41,4.38,-3.42,-8.34
2025-08-14 12:55:01 PM,50.77,red,-40.72,-26.17,-38.46,21.2
2025-08-14 12:55:11 PM,52.77,red,31.34,-23.72,-31.33,21.62
2025-08-14 12:55:21 PM,53.32,red,-4.11,8.33,-14.96,0.58
2025-08-14 12:55:31 PM,54.74,red,21.01,23.02,11.52,-30.93
2025-08-14 12:55:41 PM,55.41,red,46.47,-14.67,-24.63,-10.35
2025-08-14 12:55:51 PM,56.74,red,-25.33,23.41,-29.46,36.16
2025-08-14 12:56:01 PM,57.33,red,-31.2,4.18,-10.96,42.59
2025-08-14 12:56:11 PM,58.66,red,-12.92,51.49,26.91,26.83
2025-08-14 12:56:21 PM,59.52,red,-37.03,-8.53,-30.13,19.3
2025-08-14 12:56:31 PM,61.35,red,20.1,23.32,-26.24,-1.77
2025-08-14 12:56:41 PM,62.98,red,19.43,16.39,-12.74,43.67
2025-08-14 12:56:51 PM,64.6,red,56.3,-11.93,-11.59,10.57
2025-08-14 12:57:01 PM,65.72,red,33.87,56.71,17.62,41.5
2025-08-14 12:57:11 PM,67.23,red,54.52,64.99,0.27,53.29
2025-08-14 12:57:21 PM,68.09,red,-26.03,21.88,-14.34,32.39
2025-08-14 12:57:31 PM,70.44,red,54.92,-7.3,-7.07,-20.03
2025-08-14 12:57:41 PM,71.79,red,14.31,44.88,3.11,11.03
2025-08-14 12:57:51 PM,73.08,red,50.13,44.44,-0.4,44.84
2025-08-14 12:58:01 PM,75.0,red,68.08,73.71,4.45,61.42
2025-08-14 12:58:11 PM,77.18,red,14.74,40.81,38.83,53.67
2025-08-14 12:58:21 PM,77.78,red,7.36,32.62,69.86,33.31
2025-08-25 05:18:30 AM,39.82,red,-58.57,4.07,9.09,-54.39
2025-08-25 05:18:41 AM,38.69,red,-40.16,-52.04,-52.86,17.4
2025-08-25 05:18:41 AM,36.21,red,16.96,-2.43,3.69,22.27
2025-08-25 05:18:51 AM,34.75,red,-2.1,-62.19,25.43,-59.43
