timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-26 07:21:40 AM,37.47,green,-27.57,-54.27,-6.4,19.22
2025-08-26 07:21:49 AM,38.39,green,-46.66,-39.34,-26.55,-22.16
2025-08-26 07:22:00 AM,38.33,red,26.08,-1.84,4.61,-60.54
2025-08-26 07:22:10 AM,38.36,green,-32.64,36.79,16.06,26.83
2025-08-26 07:22:20 AM,39.19,green,11.31,-44.07,26.74,23.67
2025-08-26 07:22:30 AM,41.43,green,3.25,-48.87,4.86,39.9
2025-08-26 07:22:40 AM,42.6,green,36.98,-52.63,-21.4,-41.75
2025-08-26 07:22:50 AM,42.18,red,-29.61,23.26,-35.39,-39.12
2025-08-26 07:23:00 AM,42.45,green,-49.62,-30.14,8.78,24.22
2025-08-26 07:23:10 AM,43.9,green,-47.59,4.8,17.83,25.57
2025-08-26 07:23:20 AM,44.78,green,7.41,28.04,-38.76,1.81
2025-08-26 07:23:30 AM,44.85,green,0.67,2.35,28.78,10.76
2025-08-26 07:23:40 AM,47.14,green,-51.67,-24.05,-17.42,19.64
2025-08-26 07:23:50 AM,47.3,green,-14.79,6.57,23.04,3.36
2025-08-26 07:24:00 AM,48.76,green,21.09,-5.16,-28.55,-9.0
2025-08-26 07:24:10 AM,50.8,green,47.83,-38.18,-33.55,4.47
2025-08-26 07:24:20 AM,52.59,green,9.65,39.61,49.66,17.81
2025-08-26 07:24:30 AM,53.5,green,-21.27,-20.39,19.88,27.29
2025-08-26 07:24:40 AM,53.14,red,-39.8,50.66,-27.23,32.81
2025-08-26 07:24:50 AM,55.02,green,-32.21,-32.38,-1.78,13.51
2025-08-26 07:25:00 AM,56.38,green,33.13,26.24,21.15,-17.7
2025-08-26 07:25:10 AM,56.95,green,20.9,-31.33,51.28,-33.6
2025-08-26 07:25:20 AM,57.1,green,8.52,-7.86,56.71,41.82
2025-08-26 07:25:30 AM,57.95,green,42.13,-22.01,23.17,32.45
2025-08-26 07:25:40 AM,60.38,green,6.93,48.29,30.65,0.83
2025-08-26 07:25:50 AM,62.19,green,62.05,57.02,26.83,55.69
2025-08-26 07:26:00 AM,62.31,green,-35.56,41.56,62.25,30.16
2025-08-26 07:26:10 AM,63.49,green,-14.3,32.3,38.92,13.88
2025-08-26 07:26:20 AM,63.45,red,21.79,34.51,30.27,6.28
2025-08-26 07:26:30 AM,63.05,red,-0.7,48.92,47.67,41.8
2025-08-26 07:26:40 AM,65.46,green,7.83,31.77,49.72,-6.14
2025-08-26 07:26:50 AM,66.19,green,29.24,-2.87,48.12,-23.26
2025-08-26 07:27:00 AM,65.82,red,-9.46,59.82,26.75,-11.17
2025-08-26 07:27:10 AM,67.9,green,57.5,43.23,-11.47,28.79
2025-08-26 07:27:20 AM,70.4,green,8.22,-5.54,37.44,35.9
2025-08-26 07:27:30 AM,70.72,green,11.05,-25.52,-26.15,56.96
2025-08-26 07:27:40 AM,70.83,green,35.46,70.57,51.62,16.84
2025-08-26 07:27:50 AM,71.16,green,55.59,-1.23,39.34,67.01
2025-08-26 07:28:00 AM,71.29,green,21.59,31.73,35.12,63.57
2025-08-26 07:28:10 AM,71.25,red,-10.93,-24.77,18.41,68.99
2025-08-26 07:28:20 AM,71.64,green,61.02,20.31,38.28,39.48
2025-08-26 07:28:30 AM,72.58,green,7.25,33.55,0.3,-11.34
2025-08-26 07:28:40 AM,72.71,green,50.94,26.19,70.85,-13.31
2025-08-26 07:28:50 AM,74.0,green,-25.02,-19.5,-2.25,32.99
2025-08-26 07:29:00 AM,74.36,green,26.21,33.7,13.49,70.5
2025-08-26 07:29:10 AM,76.18,green,30.65,25.78,41.23,51.29
2025-08-26 07:29:20 AM,77.16,green,-6.34,54.55,12.07,-8.56
2025-08-26 07:29:30 AM,78.57,green,48.39,72.13,-9.84,19.02
2025-08-26 07:29:40 AM,78.42,red,16.74,57.87,49.16,22.76
2025-08-26 07:29:50 AM,78.83,green,-15.69,-11.11,17.11,27.3
2025-08-26 07:30:00 AM,79.18,green,33.52,53.37,43.32,-8.21
2025-08-26 07:30:10 AM,81.14,green,52.11,79.45,7.47,50.69
2025-08-26 07:30:20 AM,82.11,green,79.24,-7.68,12.85,13.98
2025-08-26 07:30:30 AM,82.3,green,30.82,27.86,33.85,8.19
2025-08-26 07:30:40 AM,84.69,green,11.76,2.39,19.37,29.19
2025-08-26 07:30:50 AM,86.5,green,-6.06,40.72,20.96,-8.67
2025-08-26 07:31:00 AM,88.64,green,6.07,82.8,56.72,43.58
2025-08-26 07:31:10 AM,89.87,green,-6.29,43.91,81.05,63.31
2025-08-26 07:31:20 AM,92.3,green,63.73,23.27,81.42,3.25
2025-08-26 07:31:30 AM,93.95,green,72.94,-0.03,26.24,54.77
2025-08-26 07:31:40 AM,96.4,green,90.47,0.53,36.13,57.8
2025-08-26 07:31:50 AM,98.49,green,97.44,68.06,43.56,77.19
2025-08-26 07:32:00 AM,98.93,green,94.49,31.49,97.51,48.88
2025-08-26 07:32:10 AM,99.96,green,34.53,34.55,87.47,29.41
2025-08-26 07:32:20 AM,100,green,86.6,77.91,79.27,82.83
2025-08-26 07:32:30 AM,29.82,red,-63.3,-61.85,-44.93,-19.66
2025-08-26 07:32:40 AM,29.69,red,-66.91,-29.75,15.6,-19.8
2025-08-26 07:33:20 AM,35.93,green,9.18,-36.92,0.35,8.28
2025-08-26 07:33:30 AM,38.14,green,-58.11,34.72,18.0,-39.74
2025-08-26 07:33:40 AM,39.34,green,-40.11,-35.64,31.17,-34.81
2025-08-26 07:33:50 AM,41.84,green,-55.33,-26.46,-9.91,5.33
2025-08-26 07:34:00 AM,44.01,green,42.12,-3.06,-46.17,-35.26
2025-08-26 07:34:10 AM,44.54,green,20.54,18.72,33.7,-9.36
2025-08-26 07:34:20 AM,45.53,green,-30.19,-28.14,27.83,-2.53
2025-08-26 07:34:30 AM,46.13,green,-37.62,41.8,-5.97,-43.83
2025-08-26 07:34:40 AM,48.56,green,10.17,3.19,-14.27,-34.9
2025-08-26 07:34:50 AM,49.4,green,-22.76,44.12,14.97,-23.03
2025-08-26 07:35:00 AM,50.43,green,40.1,-1.51,-29.49,44.12
2025-08-26 07:35:10 AM,52.26,green,37.08,42.39,17.15,3.82
2025-08-26 07:35:20 AM,53.93,green,28.87,-10.73,-17.86,2.34
2025-08-26 07:35:30 AM,54.74,green,40.43,15.94,-32.32,0.03
2025-08-26 07:35:40 AM,55.84,green,42.99,-17.57,-2.64,33.7
2025-08-26 07:36:00 AM,59.54,green,34.91,-34.63,29.03,-32.67
2025-08-26 07:36:10 AM,60.79,green,42.49,-10.51,-20.16,45.21
2025-08-26 07:36:20 AM,62.19,green,53.14,-5.49,41.88,53.92
2025-08-26 07:36:30 AM,64.57,green,31.71,-14.46,13.58,-14.63
2025-08-26 07:36:40 AM,65.79,green,-7.83,50.13,41.71,45.85
2025-08-26 07:36:50 AM,66.62,green,36.63,53.71,37.5,29.18
2025-08-26 07:37:00 AM,67.58,green,6.14,-4.99,48.43,-19.26
2025-08-26 07:37:10 AM,68.1,green,6.53,21.55,43.23,-15.28
2025-08-26 07:37:20 AM,69.54,green,58.95,55.83,64.87,-0.86
2025-08-26 07:37:30 AM,71.51,green,54.92,-5.26,29.84,11.14
2025-08-26 07:37:40 AM,72.88,green,2.65,59.17,33.63,15.83
2025-08-26 07:37:50 AM,74.18,green,61.12,74.1,-21.01,8.99
2025-08-26 07:38:00 AM,75.78,green,49.45,21.97,-5.81,38.43
2025-08-26 07:38:10 AM,78.2,green,69.13,22.99,71.16,46.98
2025-08-26 07:38:20 AM,79.26,green,5.77,6.73,-1.86,14.06
2025-08-26 07:38:30 AM,81.1,green,79.78,8.31,44.21,56.51
2025-08-26 07:38:40 AM,82.11,green,65.33,3.0,70.93,0.46
2025-08-26 07:38:50 AM,82.92,green,24.48,40.6,33.46,37.98
2025-08-26 07:39:00 AM,85.03,green,1.6,8.92,72.17,10.79
2025-08-26 07:39:10 AM,85.68,green,27.78,45.79,-1.15,26.02
2025-08-26 07:39:20 AM,86.84,green,70.59,83.54,-6.67,36.65
2025-08-26 07:39:30 AM,89.29,green,4.24,2.58,49.51,45.71
2025-08-26 07:39:40 AM,90.39,green,83.3,-1.2,35.44,29.43
2025-08-26 07:39:50 AM,91.07,green,-6.56,45.25,47.59,32.43
2025-08-26 07:40:00 AM,92.18,green,8.46,74.05,64.75,80.76
2025-08-26 07:40:10 AM,94.39,green,32.51,64.3,-0.98,62.71
2025-08-26 07:40:20 AM,95.43,green,65.01,31.29,68.0,35.81
2025-08-26 07:40:30 AM,96.34,green,83.3,88.43,36.74,2.0
2025-08-26 07:40:40 AM,97.61,green,51.55,20.68,47.8,75.72
2025-08-26 07:40:50 AM,99.99,green,6.93,62.83,1.42,70.56
