timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-01 05:50:39 AM,75.99,red,29.92,-21.08,50.31,13.16
2025-08-01 05:51:08 AM,76.02,red,59.66,-20.82,-19.16,61.03
2025-08-01 05:52:10 AM,76.07,red,17.56,69.49,10.07,43.35
2025-08-01 05:53:09 AM,76.11,red,56.86,9.9,-13.3,1.23
2025-08-05 03:46:08 AM,35.18,red,-60.01,-56.23,-3.06,-16.02
2025-08-05 03:47:08 AM,35.16,red,-36.57,-8.84,-12.89,-10.96
2025-08-05 03:48:08 AM,35.14,red,7.53,-20.71,-58.26,31.11
2025-08-05 03:49:08 AM,35.12,red,21.74,-31.66,-8.43,1.6
2025-08-05 03:50:10 AM,35.16,red,-45.38,-43.95,-21.0,-6.07
2025-08-05 03:51:08 AM,35.2,red,-25.69,27.43,3.87,-8.06
2025-08-06 06:58:30 PM,47.85,red,4.7,-44.15,-49.79,-25.29
