timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-25 06:26:20 PM,39.24,red,-13.21,-44.07,-53.02,5.02
2025-08-26 09:34:29 AM,7.95,red,-44.39,-65.19,-72.12,-81.04
2025-08-26 09:34:29 AM,29.8,green,-12.66,-49.27,-27.76,-40.88
2025-08-26 09:34:40 AM,27.8,red,25.96,10.17,-45.48,-11.29
2025-08-26 09:34:50 AM,26.63,red,-4.54,-35.55,-27.5,-11.12
2025-08-26 09:35:00 AM,24.77,red,-55.36,-5.17,-25.84,-1.58
2025-08-26 09:35:10 AM,22.94,red,10.89,-73.8,-60.65,11.67
2025-08-26 09:35:20 AM,21.83,red,8.22,-55.47,7.6,-36.51
2025-08-26 09:35:30 AM,19.77,red,-16.07,18.57,-40.32,-69.11
2025-08-26 09:35:40 AM,19.03,red,-3.7,-18.43,-77.67,-77.83
