timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-09 05:42:29 PM,14.23,red,6.49,-80.3,-33.49,-76.25
2025-09-09 05:42:30 PM,12.83,red,-16.0,-37.92,-65.65,-19.58
2025-09-09 05:42:41 PM,11.03,red,-26.17,-14.13,-75.55,-45.26
2025-09-09 05:42:51 PM,9.31,red,-7.46,-73.13,-67.07,-35.01
2025-09-09 05:43:01 PM,8.14,red,-13.68,-0.64,-89.43,-17.07
2025-09-09 05:43:11 PM,37.11,green,-16.89,-52.38,28.51,-23.52
2025-09-09 05:43:21 PM,36.56,red,10.53,12.21,-28.96,-60.43
2025-09-09 05:43:31 PM,34.18,red,-5.92,-41.53,-35.03,-3.17
2025-09-09 05:43:41 PM,32.46,red,-6.13,22.12,-17.27,-37.72
2025-09-09 05:43:51 PM,31.86,red,-48.35,-46.64,-37.85,-9.92
2025-09-09 05:44:01 PM,29.63,red,-52.05,25.32,-40.48,-30.25
2025-09-09 05:44:11 PM,28.16,red,4.02,-40.44,10.35,-38.14
2025-09-09 05:44:21 PM,27.65,red,22.57,-5.92,9.58,-60.16
2025-09-09 05:44:31 PM,25.91,red,6.23,-7.06,-13.4,-0.83
2025-09-09 05:44:41 PM,24.53,red,-39.45,-20.57,16.03,-6.69
2025-09-09 05:44:51 PM,22.85,red,-33.22,-17.32,16.42,-45.87
2025-09-09 05:45:01 PM,22.28,red,-11.7,-41.77,-57.02,-56.45
2025-09-09 05:45:11 PM,21.24,red,-41.82,20.53,-25.2,-44.85
2025-09-09 05:45:21 PM,20.16,red,-22.46,11.9,-42.62,-59.87
2025-09-09 05:45:31 PM,19.42,red,0.43,-63.45,2.11,-36.66
2025-09-09 05:45:41 PM,17.09,red,-40.66,-46.94,-39.61,-4.77
2025-09-09 05:45:51 PM,15.81,red,-2.57,-9.05,-7.77,-44.6
2025-09-09 05:46:01 PM,14.03,red,-84.63,-60.3,9.69,0.9
2025-09-09 05:46:11 PM,13.17,red,-15.11,-41.37,-17.21,-54.0
2025-09-09 05:46:21 PM,12.12,red,-74.72,1.86,-84.65,-55.27
2025-09-09 05:46:31 PM,11.45,red,-25.95,-14.59,-47.76,-64.73
2025-09-09 05:46:41 PM,9.24,red,-39.38,-79.48,-85.13,-67.36
2025-09-09 05:46:51 PM,8.04,red,5.66,-69.29,-88.35,-1.47
2025-09-09 05:47:01 PM,21.25,green,-37.4,15.87,-31.13,-10.93
2025-09-09 05:47:11 PM,18.85,red,12.35,7.46,7.0,-69.94
2025-09-09 05:47:21 PM,17.64,red,-27.3,-50.33,-57.31,-64.65
2025-09-09 05:47:31 PM,16.54,red,-61.0,-67.6,-30.43,-65.47
2025-09-09 05:47:41 PM,15.07,red,-41.29,-33.75,-36.14,3.9
2025-09-09 05:47:51 PM,14.49,red,-25.84,-20.06,-8.89,-62.34
2025-09-09 05:48:01 PM,15.89,green,-3.47,-74.97,-6.8,5.25
2025-09-09 05:48:11 PM,16.66,green,-43.84,-30.39,-11.29,13.94
2025-09-09 05:54:08 PM,69.48,green,23.75,-17.8,-30.11,40.46
2025-09-09 05:54:10 PM,71.0,green,-2.29,-5.09,4.96,-23.6
2025-09-09 05:54:21 PM,72.85,green,51.69,61.02,57.91,-0.56
2025-09-09 05:54:31 PM,75.3,green,5.54,48.94,2.18,25.34
2025-09-09 05:54:41 PM,77.05,green,17.85,30.85,61.96,-21.73
2025-09-09 05:54:51 PM,79.51,green,64.93,36.81,63.18,47.81
2025-09-09 05:55:01 PM,81.14,green,6.74,3.63,36.88,77.82
2025-09-09 05:55:11 PM,82.43,green,43.14,42.84,4.28,47.06
2025-09-09 05:55:21 PM,84.14,green,10.36,38.6,10.01,-6.6
2025-09-09 06:04:08 PM,59.41,red,57.95,36.6,-25.43,48.76
2025-09-09 06:04:10 PM,57.3,red,-33.53,41.0,-22.61,-2.55
2025-09-09 06:04:21 PM,55.8,red,46.91,-34.36,-15.55,-26.7
2025-09-09 06:04:31 PM,55.02,red,51.14,1.02,-17.16,-35.69
2025-09-09 06:04:41 PM,54.06,red,-27.46,52.59,29.35,21.49
2025-09-09 06:04:51 PM,53.4,red,-39.51,-16.88,13.63,-41.61
2025-09-09 06:05:01 PM,51.92,red,-46.37,43.56,-22.51,30.5
2025-09-09 06:05:11 PM,49.74,red,-6.22,-29.73,-48.22,-50.08
2025-09-09 06:07:38 PM,31.71,red,-18.12,-25.13,26.4,18.72
2025-09-09 06:07:40 PM,30.41,red,15.77,-44.88,-36.1,-25.83
2025-09-09 06:07:51 PM,29.34,red,-31.93,9.78,-54.46,20.93
2025-09-09 06:08:01 PM,28.07,red,11.47,-25.19,-56.89,-59.52
2025-09-09 06:08:11 PM,26.43,red,-20.45,-72.03,-61.65,25.16
2025-09-09 06:08:21 PM,25.23,red,3.09,-34.63,10.35,-65.71
2025-09-09 06:08:31 PM,23.15,red,-6.02,12.09,-40.99,-2.81
2025-09-09 06:08:41 PM,21.26,red,-39.65,20.13,-49.93,-56.47
2025-09-09 06:08:51 PM,19.82,red,-49.13,-40.84,-5.42,-11.51
2025-09-09 06:19:19 PM,32.02,red,-4.56,-61.77,-39.85,-39.0
2025-09-09 06:19:20 PM,30.07,red,-51.02,7.77,-28.9,-12.24
2025-09-09 06:19:31 PM,28.43,red,-64.52,-64.23,25.86,-35.73
2025-09-09 06:19:41 PM,27.63,red,-68.13,-41.6,27.18,-68.31
2025-09-09 06:19:51 PM,26.93,red,-27.01,-50.95,-10.89,-7.2
2025-09-09 06:20:01 PM,25.1,red,-39.24,23.12,-5.5,-49.91
2025-09-09 06:20:11 PM,23.21,red,-23.62,22.07,-24.43,-0.56
2025-09-09 06:20:21 PM,22.32,red,-18.69,-67.25,-40.42,-57.53
2025-09-09 06:20:31 PM,19.92,red,17.11,-41.31,-12.97,-45.99
