timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-09 05:30:41 PM,68.92,green,68.85,11.85,53.59,39.18
2025-09-09 05:30:52 PM,69.76,green,61.63,0.83,-24.96,-2.36
2025-09-09 05:31:02 PM,70.74,green,-10.08,23.64,62.32,62.97
2025-09-09 05:31:12 PM,71.4,green,-15.99,37.22,0.14,-0.79
2025-09-09 05:31:22 PM,72.57,green,-7.55,13.31,-5.38,55.85
2025-09-09 05:31:32 PM,74.5,green,40.52,-3.85,-5.38,-4.19
2025-09-09 05:31:42 PM,75.29,green,-21.48,-19.7,29.68,69.29
2025-09-09 05:31:52 PM,77.24,green,72.75,29.33,-6.95,47.99
2025-09-09 05:32:02 PM,79.01,green,27.28,25.51,9.08,18.13
2025-09-09 05:32:12 PM,81.12,green,1.9,66.32,72.66,-9.2
2025-09-09 05:32:22 PM,81.65,green,19.47,55.17,-11.17,77.08
2025-09-09 05:32:32 PM,82.77,green,70.19,73.79,30.04,15.0
2025-09-09 05:32:42 PM,83.81,green,10.18,55.73,27.02,-13.8
2025-09-09 05:32:52 PM,85.29,green,74.59,18.78,7.37,9.82
2025-09-09 05:33:02 PM,85.91,green,73.11,11.42,81.04,54.66
2025-09-09 05:33:12 PM,88.4,green,13.42,-8.18,37.78,71.16
2025-09-09 05:33:22 PM,90.06,green,8.82,34.22,84.99,48.07
2025-09-09 05:33:32 PM,92.16,green,50.31,62.01,24.09,11.17
2025-09-09 05:33:42 PM,93.43,green,69.01,15.99,36.0,43.35
2025-09-09 05:33:52 PM,95.72,green,64.5,46.53,59.23,32.71
2025-09-09 05:34:02 PM,97.02,green,40.36,51.81,25.14,13.59
2025-09-09 05:34:12 PM,98.95,green,85.98,62.08,71.2,93.4
2025-09-09 05:34:22 PM,100,green,18.96,95.25,36.28,76.18
2025-09-09 05:34:32 PM,26.84,red,-14.15,-25.27,-42.48,-69.02
2025-09-09 05:34:42 PM,28.31,green,-4.1,7.04,-42.75,-32.73
2025-09-09 05:34:52 PM,30.53,green,-64.32,-42.71,-63.49,13.9
2025-09-09 05:35:02 PM,32.99,green,23.68,-26.91,-40.16,22.85
2025-09-09 05:35:12 PM,34.03,green,-32.34,-33.33,31.65,23.17
2025-09-09 05:35:22 PM,36.05,green,-38.16,-48.16,12.08,16.83
2025-09-09 06:55:28 PM,67.25,green,30.28,45.21,-19.04,-9.45
2025-09-09 06:55:30 PM,68.83,green,15.49,63.4,11.33,-24.93
2025-09-09 06:55:41 PM,69.61,green,-22.81,39.68,38.04,-14.79
2025-09-09 06:55:51 PM,70.65,green,1.11,49.7,-1.73,52.79
2025-09-09 06:56:01 PM,72.09,green,1.01,-12.46,36.43,23.85
2025-09-09 06:56:11 PM,74.22,green,-22.53,9.53,-25.47,0.14
2025-09-09 06:56:21 PM,76.27,green,-5.18,43.43,65.21,9.63
2025-09-09 06:56:31 PM,77.55,green,-20.54,57.82,33.49,39.49
2025-09-09 06:56:41 PM,79.57,green,56.18,70.75,34.23,15.23
2025-09-09 07:01:48 PM,41.79,green,-29.59,19.92,12.18,13.86
2025-09-09 07:01:50 PM,43.34,green,29.02,33.55,-24.22,15.99
2025-09-09 07:02:01 PM,42.01,red,-11.54,-34.36,22.18,36.16
2025-09-09 07:02:11 PM,40.05,red,8.38,25.33,-10.55,4.07
2025-09-09 07:03:18 PM,30.11,red,-50.13,4.54,-6.84,-20.74
2025-09-09 07:03:20 PM,28.7,red,-61.97,-64.05,-57.11,-9.16
2025-09-09 07:03:31 PM,26.62,red,-34.31,-58.83,-72.95,-48.63
2025-09-09 07:06:00 PM,26.68,red,-50.92,-60.2,-71.72,-25.24
2025-09-09 07:06:00 PM,25.02,red,-46.25,14.22,-61.62,9.16
2025-09-09 07:06:11 PM,23.78,red,-5.7,-2.27,-36.65,-60.36
2025-09-09 07:06:21 PM,22.88,red,-48.45,-23.03,6.74,-19.8
2025-09-09 07:06:31 PM,21.73,red,13.9,-40.68,17.79,-9.06
2025-09-09 07:07:58 PM,7.94,red,-67.13,0.51,-6.31,0.56
2025-09-09 07:08:00 PM,35.36,green,-31.96,30.1,-19.79,-44.15
2025-09-09 07:08:11 PM,33.37,red,-66.36,28.88,-26.41,25.61
2025-09-09 07:08:21 PM,32.52,red,22.79,4.65,-1.28,-40.55
2025-09-09 07:08:31 PM,30.14,red,-19.92,-25.64,-44.6,2.32
2025-09-09 07:08:51 PM,26.19,red,25.03,-43.94,-5.79,21.98
2025-09-09 07:08:51 PM,28.24,red,0.79,-53.8,-50.64,-67.4
2025-09-09 07:09:11 PM,25.23,red,5.35,-73.4,-11.33,-70.7
2025-09-09 07:09:21 PM,23.96,red,-59.78,-24.27,-7.24,-19.44
2025-09-09 07:09:31 PM,22.54,red,-33.63,-53.84,11.18,14.48
2025-09-09 07:09:41 PM,20.37,red,-71.84,-61.1,-53.46,-13.87
2025-09-09 07:09:51 PM,18.74,red,-45.46,-24.95,-8.08,-75.87
2025-09-09 07:10:01 PM,17.97,red,-52.97,-31.95,-26.59,5.88
2025-09-09 07:10:11 PM,17.45,red,-77.01,-36.05,0.53,5.49
2025-09-09 07:10:21 PM,16.82,red,-17.2,-21.16,-41.34,-66.78
2025-09-09 07:10:31 PM,15.11,red,2.37,-41.94,-1.54,-66.29
2025-09-09 07:10:41 PM,14.56,red,-33.77,-36.79,8.55,-34.56
2025-09-09 07:10:51 PM,14.06,red,1.05,-26.6,-78.09,-24.15
2025-09-09 07:11:01 PM,11.98,red,-48.39,-38.79,-56.3,-14.57
2025-09-09 07:11:11 PM,10.32,red,-8.8,-31.12,-70.58,-87.13
2025-09-09 07:11:21 PM,8.17,red,-84.48,-23.01,-12.31,-25.39
2025-09-09 07:11:31 PM,36.53,green,27.9,-2.34,-5.44,14.7
2025-09-09 07:11:41 PM,34.72,red,-6.16,-2.41,3.73,-21.88
2025-09-09 07:11:51 PM,33.89,red,-65.23,-64.83,-16.64,3.27
2025-09-09 07:12:01 PM,32.44,red,-3.81,3.87,28.64,-21.54
2025-09-09 07:12:11 PM,30.67,red,-27.73,-58.36,29.5,5.62
2025-09-09 07:12:21 PM,28.96,red,0.84,-29.08,-18.15,-52.12
2025-09-09 07:12:31 PM,27.46,red,3.74,-53.53,19.99,-41.11
2025-09-09 07:12:41 PM,26.93,red,-59.93,-10.11,-41.72,-5.8
