timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-24 11:56:30 AM,29.65,red,-0.41,1.11,-68.28,-61.19
2025-08-24 11:56:40 AM,28.67,red,10.19,-59.27,-25.52,-55.62
2025-08-24 11:56:50 AM,27.43,red,-48.31,-5.36,14.43,-28.63
2025-08-24 11:57:00 AM,24.95,red,-25.84,-69.24,-40.61,-68.27
2025-08-24 11:57:10 AM,24.14,red,-36.58,-40.38,-12.84,-60.22
2025-08-24 11:57:20 AM,21.72,red,2.48,-55.31,-1.32,-25.52
2025-08-24 11:57:30 AM,20.48,red,-0.39,-41.52,-73.99,-68.07
2025-08-24 11:57:40 AM,18.53,red,-67.68,-74.25,-67.55,-26.0
2025-08-24 11:34:48 PM,23.91,red,-27.44,0.82,-70.46,-55.91
2025-08-24 11:34:50 PM,22.75,red,7.01,-57.49,15.1,-4.15
2025-08-24 11:35:01 PM,21.45,red,18.98,-7.33,-8.39,-68.1
2025-08-24 11:35:11 PM,20.4,red,5.14,19.83,-20.39,-38.43
2025-08-24 11:35:21 PM,18.4,red,-63.93,-45.7,-54.71,-59.06
2025-08-24 11:35:31 PM,17.2,red,-73.1,-17.61,4.18,6.69
2025-08-24 11:35:41 PM,16.08,red,-52.29,-68.29,-41.4,-11.57
2025-08-24 11:35:51 PM,15.02,red,-6.14,-75.3,-26.46,-61.46
2025-08-24 11:36:01 PM,14.02,red,-53.41,-44.0,-78.43,-64.95
2025-08-24 11:36:11 PM,11.89,red,-59.33,-52.65,11.17,-61.76
2025-08-24 11:36:21 PM,10.51,red,-42.72,-47.64,-81.44,0.41
2025-08-24 11:36:31 PM,8.72,red,-26.62,-8.51,-67.26,-85.15
2025-08-24 11:36:41 PM,29.54,red,-8.77,-43.55,-6.01,-59.62
2025-08-24 11:36:51 PM,27.69,red,-41.95,-8.71,-19.91,-17.46
2025-08-24 11:37:01 PM,26.91,red,-28.98,-48.45,-49.36,-59.42
2025-08-24 11:37:11 PM,24.94,red,7.14,5.02,-62.14,18.99
2025-08-24 11:37:21 PM,23.27,red,-54.74,-26.12,-0.99,-56.91
2025-08-24 11:37:31 PM,22.2,red,-42.92,-48.93,-43.76,-26.19
2025-08-24 11:37:41 PM,20.08,red,-30.54,-7.35,-14.92,-51.79
2025-08-24 11:37:51 PM,17.74,red,-43.63,-40.89,-10.95,2.34
2025-08-24 11:38:01 PM,17.17,red,8.17,-40.4,-42.01,16.83
2025-08-24 11:38:11 PM,14.92,red,-84.15,-22.27,13.98,-84.82
2025-08-24 11:38:21 PM,14.32,red,-21.34,-20.46,-67.65,-1.72
2025-08-24 11:38:31 PM,12.7,red,-72.2,-9.93,-58.4,-19.7
2025-08-24 11:38:41 PM,11.76,red,-15.53,-55.13,-0.46,-13.18
2025-08-24 11:38:51 PM,9.54,red,0.84,-49.31,-86.63,-34.13
