timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-26 10:20:30 AM,39.76,green,-18.16,-41.36,-59.24,-30.97
2025-08-26 10:20:30 AM,42.17,green,-17.29,-18.18,-45.7,-39.43
2025-08-26 10:20:40 AM,42.36,green,9.39,-2.77,-19.65,33.68
2025-08-26 10:20:50 AM,44.33,green,40.44,-9.45,28.87,-24.72
2025-08-26 10:21:00 AM,45.99,green,-30.07,44.99,-16.53,-46.63
2025-08-26 10:21:10 AM,46.31,green,-19.73,-32.3,44.83,-7.75
2025-08-26 10:21:20 AM,48.01,green,36.94,8.71,-25.69,-4.32
2025-08-26 10:21:30 AM,49.03,green,16.69,29.23,5.75,-24.18
2025-08-26 10:21:40 AM,51.14,green,37.98,14.69,-34.83,-43.42
2025-08-26 10:21:50 AM,53.5,green,46.36,-9.33,-1.17,-43.88
2025-08-26 10:22:00 AM,54.4,green,16.57,-2.06,-5.46,34.93
2025-08-26 10:22:10 AM,55.13,green,13.02,31.59,24.58,33.97
2025-08-26 10:22:20 AM,55.41,green,-1.92,16.93,43.21,50.17
2025-08-26 10:22:30 AM,57.46,green,20.8,-14.55,-18.11,56.2
