timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-09 01:40:30 PM,25.01,red,2.72,5.33,-48.23,-23.71
2025-09-09 01:40:40 PM,23.16,red,-15.38,-3.02,10.43,-25.56
2025-09-09 01:40:50 PM,22.07,red,-53.17,-19.26,14.77,20.39
2025-09-09 01:41:00 PM,19.68,red,-72.51,-2.53,-30.43,-36.6
2025-09-09 01:41:10 PM,17.31,red,-9.55,-61.07,-71.14,-68.53
2025-09-09 01:41:20 PM,16.55,red,-79.45,11.3,-71.18,-65.5
2025-09-09 01:41:30 PM,15.27,red,-75.07,-25.85,-7.5,-7.15
2025-09-09 01:41:40 PM,13.27,red,1.11,-79.54,-17.47,-33.49
2025-09-09 01:41:50 PM,12.57,red,8.66,-0.46,-18.43,-26.27
2025-09-09 01:42:00 PM,11.24,red,-54.93,-80.14,-67.13,-70.51
2025-09-09 01:42:10 PM,8.75,red,-22.8,-62.17,-5.85,4.66
2025-09-09 01:42:20 PM,47.5,green,-11.94,3.91,23.69,47.2
2025-09-09 01:42:30 PM,45.95,red,-2.87,-47.51,-39.75,-35.5
2025-09-09 01:42:40 PM,44.28,red,15.89,-8.59,29.69,41.23
2025-09-09 01:42:50 PM,42.64,red,-21.72,-33.24,40.63,12.93
2025-09-09 01:43:00 PM,42.12,red,-13.75,14.3,-52.77,23.26
2025-09-09 01:43:10 PM,41.29,red,-24.8,40.82,-39.15,3.73
2025-09-09 01:43:20 PM,39.99,red,-58.3,25.26,3.53,-6.95
2025-09-09 01:43:30 PM,38.8,red,-34.08,33.61,-23.06,-31.62
2025-09-09 01:43:40 PM,38.27,red,34.31,-20.33,1.16,32.54
2025-09-09 01:43:50 PM,36.59,red,-3.12,5.33,-16.52,-42.91
2025-09-09 01:44:00 PM,35.43,red,-54.84,33.45,18.44,-48.42
2025-09-09 01:44:10 PM,33.99,red,-16.28,-31.59,-12.83,-14.69
2025-09-09 01:44:20 PM,33.36,red,-27.97,3.37,-59.69,-28.12
2025-09-09 01:44:30 PM,32.03,red,24.1,-5.63,-4.95,17.43
2025-09-09 01:44:40 PM,30.17,red,-31.76,-19.54,-33.13,6.0
2025-09-09 01:44:50 PM,29.27,red,-63.82,-41.46,-70.35,-40.32
2025-09-09 01:45:00 PM,27.23,red,-16.9,-61.3,5.46,-18.35
2025-09-09 01:45:10 PM,25.42,red,-13.05,-19.23,-60.55,6.61
2025-09-09 01:45:20 PM,24.65,red,-3.5,-54.43,-4.23,-13.44
2025-09-09 01:45:30 PM,23.01,red,10.1,-57.38,12.78,-64.96
2025-09-09 01:45:40 PM,21.61,red,-38.05,-4.69,-55.84,-15.88
2025-09-09 01:45:50 PM,19.35,red,-60.93,-40.36,-60.92,-15.75
2025-09-09 01:46:00 PM,17.06,red,-77.04,-46.33,5.47,-73.25
2025-09-09 01:46:10 PM,16.26,red,-62.97,-32.94,10.39,-26.7
2025-09-09 01:46:20 PM,14.33,red,-79.93,-43.17,-34.74,-65.26
2025-09-09 01:46:30 PM,13.78,red,-70.05,-17.86,-58.88,8.57
2025-09-09 01:46:40 PM,13.09,red,-55.2,-66.14,-57.07,-57.65
2025-09-09 01:46:50 PM,12.09,red,-56.83,-1.0,-6.17,-61.44
2025-09-09 01:47:00 PM,10.19,red,-87.81,-26.23,-37.19,-59.11
2025-09-09 01:47:10 PM,8.71,red,-23.81,-38.84,-47.65,-48.75
2025-09-09 01:47:20 PM,43.88,green,-30.79,-51.16,-15.6,11.78
2025-09-09 01:47:30 PM,43.28,red,27.01,4.02,-15.49,27.12
2025-09-09 01:47:40 PM,42.53,red,-45.91,-29.36,23.26,-5.33
2025-09-09 01:47:50 PM,40.34,red,-14.12,27.86,-55.77,-13.75
2025-09-09 01:48:00 PM,38.04,red,-4.63,-14.23,-4.5,-13.47
2025-09-09 01:48:10 PM,37.23,red,4.75,-51.87,0.92,25.04
2025-09-09 01:48:20 PM,35.07,red,-36.89,-54.71,13.63,-22.02
2025-09-09 01:48:30 PM,32.57,red,18.49,14.85,-62.54,-48.21
2025-09-09 01:48:40 PM,31.99,red,-7.35,-24.74,7.17,5.24
2025-09-09 01:48:50 PM,29.5,red,-61.3,-47.47,-56.44,16.05
2025-09-09 01:49:00 PM,28.34,red,-47.01,-65.18,-12.61,-16.17
2025-09-09 01:49:10 PM,25.84,red,-64.47,-13.12,-65.1,7.47
2025-09-09 01:49:20 PM,24.39,red,-38.84,-17.61,-39.87,-61.75
2025-09-09 01:49:30 PM,22.46,red,15.88,-45.47,-24.68,-56.36
2025-09-09 01:49:40 PM,21.54,red,-0.2,9.11,-61.86,-10.07
