timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-25 07:08:40 PM,16.31,red,-70.22,11.41,-69.35,-41.89
2025-08-25 07:08:49 PM,14.58,red,-11.09,-30.75,-68.03,-3.86
2025-08-25 07:09:00 PM,14.08,red,0.63,-54.38,-66.06,-44.91
2025-08-25 07:09:10 PM,12.97,red,-5.35,-6.92,-16.97,-30.39
2025-08-26 10:24:40 AM,90.52,green,27.95,37.45,4.62,20.24
2025-08-26 10:24:40 AM,92.66,green,12.93,25.79,79.15,58.74
2025-08-26 10:24:50 AM,94.75,green,47.83,39.93,63.71,88.34
2025-08-26 10:25:00 AM,95.32,green,61.81,82.48,44.67,46.84
2025-08-26 10:25:10 AM,96.64,green,93.13,9.73,91.25,12.92
2025-08-26 10:25:20 AM,97.88,green,78.85,29.11,40.29,14.22
2025-08-26 10:25:30 AM,99.16,green,73.13,4.42,47.13,21.56
2025-08-26 10:25:40 AM,99.86,green,11.3,59.91,44.9,7.1
2025-08-26 10:25:50 AM,100,green,31.95,19.02,75.63,89.73
2025-08-26 10:26:00 AM,37.82,red,33.99,-47.8,18.16,-60.56
2025-08-26 10:26:10 AM,37.92,green,-10.88,35.56,-49.85,-41.52
2025-08-26 10:26:20 AM,39.3,green,-43.09,16.48,-33.25,13.75
2025-08-26 10:26:30 AM,41.05,green,7.66,-55.47,-6.42,30.22
2025-08-26 10:26:40 AM,42.17,green,-22.99,-5.18,-4.65,14.78
2025-08-26 10:26:50 AM,42.5,green,23.03,-9.27,-15.58,0.38
2025-08-26 10:27:00 AM,43.74,green,0.46,-1.79,40.18,11.24
