timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-08 08:59:18 AM,99.93,green,28.54,78.33,83.73,19.22
2025-09-08 08:59:20 AM,100,green,14.75,53.65,57.39,71.11
2025-09-08 09:04:38 AM,65.65,green,-21.2,-16.47,-0.84,7.28
2025-09-08 09:04:40 AM,65.53,red,15.43,45.06,-27.99,-32.41
2025-09-08 09:07:19 AM,81.78,green,40.99,31.75,-0.67,75.18
2025-09-08 09:07:20 AM,83.83,green,55.05,58.87,15.48,-11.55
2025-09-08 09:08:50 AM,94.94,green,71.98,32.11,24.47,30.85
2025-09-08 09:08:50 AM,95.61,green,26.85,68.62,23.83,77.04
2025-09-08 09:09:01 AM,95.15,red,47.81,2.79,87.02,35.22
2025-09-08 09:09:59 AM,37.96,red,37.83,2.79,-26.91,32.57
2025-09-08 09:10:00 AM,37.78,red,-8.15,14.35,2.69,-42.94
2025-09-08 09:11:28 AM,45.4,green,-45.93,38.49,21.23,-54.55
2025-09-08 09:15:38 AM,74.48,green,3.38,71.7,-11.13,71.14
2025-09-08 09:15:40 AM,75.99,green,66.7,-12.4,9.91,-12.7
2025-09-08 09:20:28 AM,63.89,red,-9.28,-14.88,57.04,39.36
2025-09-08 09:20:30 AM,61.45,red,-12.15,45.75,-23.03,52.77
2025-09-08 09:23:58 AM,33.86,red,23.61,-6.61,7.14,-35.26
2025-09-08 09:24:00 AM,32.41,red,-36.43,-10.07,2.43,-44.82
