timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-25 08:36:20 AM,86.4,red,28.37,13.01,19.11,65.75
2025-07-25 08:37:00 AM,86.38,red,79.19,15.17,10.22,56.27
2025-07-25 08:38:24 AM,86.36,red,40.0,69.64,4.9,57.05
2025-07-25 08:39:00 AM,86.34,red,51.64,45.38,51.7,-11.5
2025-07-25 08:40:20 AM,86.32,red,77.05,16.05,20.48,49.75
2025-08-05 02:34:58 AM,55.85,red,-13.98,-16.12,-6.85,-43.79
2025-08-05 02:35:18 AM,55.86,red,6.9,34.71,52.49,3.54
2025-08-05 02:36:00 AM,55.88,red,23.77,19.45,-17.52,7.22
2025-08-05 02:37:00 AM,55.88,red,-18.5,-43.26,-26.13,-18.79
2025-08-05 02:38:08 AM,55.91,red,48.86,32.08,43.39,1.14
2025-08-05 02:39:08 AM,55.95,red,8.15,-31.09,28.93,11.28
2025-08-05 02:40:09 AM,55.98,red,-34.69,26.65,-27.87,-15.93
2025-08-05 02:41:00 AM,56.01,red,-38.68,37.92,0.09,-32.59
2025-08-05 02:42:00 AM,56.03,red,-7.46,18.79,-31.8,32.73
2025-08-05 02:43:08 AM,56.06,red,30.27,-38.72,11.5,48.01
2025-08-05 02:44:08 AM,56.1,red,46.16,-38.3,48.28,-39.01
2025-08-05 02:45:09 AM,56.13,red,-5.43,53.6,51.28,40.23
2025-08-05 02:46:09 AM,56.11,red,50.09,-30.38,25.94,-29.93
2025-08-05 02:47:09 AM,56.09,red,46.62,54.75,-41.23,-12.06
2025-08-05 02:48:10 AM,56.07,red,7.77,-24.43,-11.51,-41.0
2025-08-05 02:49:00 AM,56.05,red,52.72,0.22,49.51,26.89
2025-08-05 02:50:01 AM,56.09,red,39.84,30.77,9.09,-43.35
