timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-31 05:49:48 AM,75.88,red,72.17,22.99,-23.15,16.44
2025-07-31 05:50:08 AM,75.93,red,66.53,-15.05,3.33,68.3
2025-07-31 05:51:48 AM,75.96,red,51.96,18.64,27.16,-17.5
2025-07-31 05:52:10 AM,76.01,red,47.1,54.41,73.11,-22.19
2025-07-31 05:53:08 AM,76.04,red,15.71,64.59,62.04,25.57
2025-07-31 05:54:00 AM,76.08,red,11.77,-9.89,71.74,38.85
2025-07-31 05:55:00 AM,76.11,red,-13.67,17.31,43.53,-16.62
2025-07-31 05:56:00 AM,76.09,red,47.35,72.09,72.31,-16.51
2025-07-31 05:57:08 AM,76.07,red,63.14,29.27,0.92,0.43
2025-07-31 05:58:08 AM,76.05,red,50.68,-7.19,0.27,-21.84
2025-07-31 05:59:08 AM,76.03,red,68.99,71.93,64.3,40.13
2025-07-31 06:00:08 AM,76.05,red,3.47,-16.63,41.48,-7.84
2025-07-31 06:01:10 AM,76.07,red,29.13,1.45,75.25,62.19
2025-07-31 06:02:08 AM,76.08,red,31.82,13.38,40.8,75.25
2025-07-31 06:03:08 AM,76.1,red,23.75,-16.65,-8.41,-7.98
2025-07-31 06:04:09 AM,76.13,red,-7.54,-13.69,-15.08,32.44
2025-07-31 06:05:09 AM,76.17,red,60.73,63.02,44.28,-2.2
2025-07-31 06:06:09 AM,76.23,red,-4.13,2.43,-19.86,15.72
2025-07-31 06:07:08 AM,76.27,red,17.78,28.27,35.67,-23.59
2025-07-31 06:08:08 AM,76.3,red,52.5,50.22,33.86,49.96
2025-07-31 06:09:08 AM,76.34,red,71.85,-14.83,-21.12,-6.51
2025-07-31 06:10:08 AM,76.39,red,-18.19,16.31,46.11,60.58
2025-07-31 06:11:08 AM,76.37,red,41.87,36.62,42.94,11.0
2025-07-31 06:12:08 AM,76.35,red,37.64,54.81,-0.73,25.84
2025-07-31 06:13:18 AM,76.33,red,75.23,19.34,57.39,51.05
2025-07-31 06:14:18 AM,76.31,red,-6.74,-18.83,62.47,13.7
2025-07-31 06:15:00 AM,76.29,red,-16.37,59.04,28.59,13.53
2025-07-31 06:16:08 AM,76.27,red,5.26,-5.74,21.03,53.12
