timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-09 01:52:21 PM,60.49,red,52.61,44.29,52.04,51.41
2025-09-09 01:52:21 PM,60.94,green,40.29,-19.98,-20.92,33.91
2025-09-09 01:52:31 PM,63.24,green,33.39,-6.32,33.78,8.16
2025-09-09 01:52:41 PM,63.54,green,43.81,-22.02,-17.52,-5.89
2025-09-09 01:52:51 PM,64.07,green,-29.22,60.78,62.56,-18.76
2025-09-09 01:53:01 PM,63.72,red,28.2,58.42,6.29,38.34
2025-09-09 01:53:11 PM,65.36,green,-1.08,7.68,14.32,-6.31
2025-09-09 01:53:21 PM,64.96,red,61.63,-29.12,36.97,37.1
2025-09-09 01:53:31 PM,66.6,green,4.5,40.49,66.3,3.21
2025-09-09 01:53:41 PM,69.04,green,-24.51,1.64,50.75,18.8
2025-09-09 01:53:51 PM,70.08,green,54.41,11.87,22.49,59.29
2025-09-09 01:54:01 PM,69.63,red,68.62,54.67,38.24,-1.95
2025-09-09 01:54:11 PM,69.29,red,31.9,-25.6,-6.38,-8.57
2025-09-09 01:54:21 PM,71.03,green,29.76,-23.77,-8.9,14.15
2025-09-09 01:54:31 PM,72.48,green,37.98,-24.64,-5.96,28.83
2025-09-09 01:54:41 PM,74.98,green,51.31,71.57,-12.68,42.77
2025-09-09 01:54:51 PM,76.07,green,3.38,-3.19,-18.53,-12.4
2025-09-09 01:55:01 PM,75.69,red,13.52,13.15,-21.26,-13.6
2025-09-09 01:55:11 PM,75.82,green,8.16,22.43,-12.66,2.77
2025-09-09 01:55:21 PM,75.49,red,57.73,26.87,10.62,53.67
2025-09-09 01:55:31 PM,76.68,green,67.93,19.67,5.19,10.49
2025-09-09 01:55:41 PM,78.62,green,11.98,-16.92,40.58,35.24
2025-09-09 01:55:51 PM,80.39,green,54.41,59.56,64.94,-14.28
2025-09-09 03:34:08 PM,45.56,green,-49.63,-17.08,7.35,-34.06
2025-09-09 03:34:11 PM,47.0,green,-8.44,-44.19,-15.05,35.63
2025-09-09 03:34:21 PM,48.35,green,46.72,-20.44,-50.84,9.96
2025-09-09 03:34:31 PM,49.53,green,46.5,24.96,-17.24,27.86
2025-09-09 03:34:41 PM,51.25,green,-35.22,24.05,25.86,-44.62
2025-09-09 03:34:51 PM,51.07,red,-20.18,48.11,-38.73,3.17
2025-09-09 03:35:01 PM,51.79,green,-11.73,-36.45,8.16,-1.05
2025-09-09 03:35:11 PM,52.55,green,38.25,-18.92,-39.88,24.42
2025-09-09 03:35:21 PM,54.63,green,-11.83,50.62,-39.13,-38.37
2025-09-09 03:35:31 PM,56.67,green,50.61,-35.53,21.08,32.01
2025-09-09 03:35:41 PM,56.58,red,51.96,54.53,-18.92,-39.04
2025-09-09 03:35:51 PM,56.13,red,43.85,35.28,22.45,20.85
2025-09-09 03:36:01 PM,56.7,green,53.43,-10.84,37.04,11.89
2025-09-09 03:36:11 PM,56.75,green,-24.83,8.58,3.1,1.97
2025-09-09 03:36:21 PM,57.21,green,55.32,38.05,35.62,31.48
2025-09-09 03:36:31 PM,59.61,green,-16.53,9.39,0.19,-22.94
2025-09-09 03:36:41 PM,59.58,red,43.46,12.04,47.88,-15.18
2025-09-09 03:36:51 PM,59.98,green,22.14,-7.49,6.49,1.53
2025-09-09 03:37:01 PM,61.63,green,16.85,59.24,18.83,53.86
