timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 22:45:41,35.42,,,-57.38%,-8.82%,-4.74%,-15.76%
2025-06-12 22:46:27,35.4,,,-63.85%,10.12%,-12.52%,-32%
2025-06-12 22:47:09,35.38,,,-25.66%,-51.72%,-38.1%,-13.92%
2025-06-12 22:48:18,35.36,,,-31.01%,24.06%,26.77%,-27.22%
2025-06-12 22:49:04,35.34,,,-3.52%,-7.85%,-27.92%,-5.69%
2025-06-12 22:50:12,35.32,,,15.44%,-53.03%,5.02%,-45.47%
2025-06-12 22:51:20,35.3,,,-6.96%,-27.51%,-45.29%,-48.82%
2025-06-12 22:52:14,35.28,,,-41.97%,-41.79%,-26.12%,-54.72%
2025-06-12 22:53:19,35.26,,,-8.72%,-55.81%,-10.13%,-42.04%
2025-06-12 22:54:20,35.24,,,-28.58%,29.18%,25.98%,3.82%
2025-06-12 22:55:24,35.29,,,-56.27%,9.66%,-4.36%,12.57%
2025-06-12 22:56:09,35.34,,,20.45%,-41.44%,-26.02%,26.25%
2025-06-12 22:57:17,35.38,,,29.52%,-11.64%,-55.67%,-25.29%
2025-06-12 22:58:27,35.42,,,-35.54%,-30.58%,30.9%,-38.54%
2025-06-12 22:59:08,35.46,,,-34.92%,-17.1%,21.04%,-60.43%
2025-06-12 23:39:22,36.13,,,13.33%,-28.19%,-16.51%,-13.82%
2025-06-12 23:40:07,36.18,,,-13.89%,15.86%,-39.42%,5.65%
2025-06-12 23:41:15,36.19,,,29.66%,-15.46%,-44.01%,-32.44%
2025-06-12 23:42:23,36.2,,,28.98%,-5.03%,10.82%,29.33%
2025-06-12 23:43:08,36.23,,,27.34%,-4.3%,-32.88%,19.4%
2025-06-12 23:44:16,36.26,,,28.04%,-25.71%,7.8%,-21.91%
2025-06-12 23:45:26,36.24,,,18.85%,-61.66%,8.48%,-28.17%
2025-06-12 23:46:11,36.22,,,-16.12%,-51.56%,23.99%,-30.09%
2025-06-12 23:47:24,36.2,,,26.11%,-55.34%,-1.89%,-22.6%
2025-06-12 23:48:23,36.18,,,-12.76%,12.23%,-17.85%,-28.48%
2025-06-12 23:49:05,36.16,,,-13.41%,3.8%,1.48%,-25.96%
2025-06-12 23:50:13,36.16,,,-13.84%,-60.98%,-40.97%,-39.68%
2025-06-12 23:51:25,36.19,,,-63.05%,17.01%,-42.95%,7.4%
2025-06-12 23:52:06,36.21,,,36.14%,-9.44%,18.02%,36.1%
