timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-13 01:03:15,99.06,,,33.36%,49.37%,16.47%,86.41%
2025-06-13 01:04:19,99.04,,,57.09%,11.31%,6.07%,53.03%
2025-06-13 01:05:09,99.02,,,86.63%,70.41%,72.35%,75.18%
2025-06-13 01:06:13,99.0,,,31.74%,16.83%,18.24%,97.07%
2025-06-13 01:07:21,98.98,,,85.95%,89.95%,74.29%,53.84%
2025-06-13 01:08:12,98.96,,,15.2%,32.01%,44.7%,92.88%
2025-06-13 01:09:17,98.94,,,22.95%,79.21%,19.07%,12.57%
2025-06-13 01:10:16,98.92,,,97.33%,32.1%,31.25%,13.1%
2025-06-13 01:11:24,98.94,,,52.92%,60.92%,40.08%,96.09%
2025-06-13 01:12:09,98.98,,,72.07%,65.39%,21.82%,47.15%
2025-06-13 01:13:17,99.01,,,78.32%,22.88%,13.98%,79.84%
2025-06-13 01:14:03,99.06,,,65.15%,68.22%,93.23%,85.02%
2025-06-13 01:15:17,99.04,,,8.81%,73.59%,80.81%,19.39%
2025-06-13 01:16:16,99.02,,,81.77%,56.62%,82.4%,26.96%
2025-06-13 01:17:32,99.0,,,25.49%,15.44%,31.03%,92.53%
2025-06-13 01:18:09,98.98,,,20.12%,20.14%,71.69%,29.25%
2025-06-13 01:40:01,99.37,,,75.45%,44.53%,48.53%,52.42%
2025-06-13 01:41:53,99.33,,,50.95%,69.19%,22.53%,39.36%
2025-06-13 01:42:15,99.31,,,20.14%,23.58%,38.02%,7.81%
2025-06-13 01:43:22,99.29,,,69.65%,60.9%,96.94%,71.77%
2025-06-13 01:54:54,99.31,,,90.68%,23.27%,43.47%,82.97%
2025-06-13 01:55:16,99.29,,,5.09%,13.21%,47.21%,20.77%
2025-06-13 01:56:24,99.27,,,89.98%,69.24%,75.09%,54.37%
2025-06-13 02:13:26,99.46,,,70.38%,3.06%,25.15%,84.61%
2025-06-13 02:15:05,99.53,,,28.83%,79.98%,92.81%,9.5%
2025-06-13 02:17:07,99.62,,,27.83%,9.06%,91.63%,55.44%
2025-06-13 02:34:06,99.91,,,32.53%,65.97%,74.29%,13.54%
2025-06-13 02:35:13,99.89,,,72.82%,44.65%,88.2%,88.53%
2025-06-13 02:48:41,15.41,,,-48.97%,-20.06%,-15.55%,-47.57%
2025-06-13 02:49:22,15.44,,,-83.66%,9.14%,-70.56%,-62.76%
2025-06-13 02:53:38,15.54,,,-49.73%,-76.88%,-48.73%,-59.91%
2025-06-13 02:54:24,15.59,,,-69.6%,-26.83%,-57.97%,-72.37%
2025-06-13 02:55:03,15.59,,,-74.18%,-2.99%,-35.89%,-63.9%
2025-06-13 02:56:20,15.6,,,-48.63%,-30.91%,6.21%,-40.91%
2025-06-13 02:57:10,15.62,,,-24.38%,-56.32%,-1.74%,-50.49%
2025-06-13 02:58:03,15.65,,,-20.24%,-43.86%,-17.53%,-70.67%
2025-06-13 02:59:11,15.69,,,-5.3%,8.57%,-38.49%,-40.8%
2025-06-13 03:05:55,15.58,,,7.58%,-55.02%,-59.43%,-25.61%
2025-06-13 03:06:15,15.56,,,-55.07%,-2.75%,-21.07%,8.88%
2025-06-13 03:07:23,15.54,,,-4.84%,-33.19%,-67.58%,-14.18%
2025-06-13 03:10:34,15.48,,,-50.5%,-61.56%,-38.78%,-68.55%
2025-06-13 03:11:19,15.46,,,14.28%,-41.59%,-52.32%,-14.01%
2025-06-13 03:16:16,15.36,,,-37.14%,13.94%,-37.24%,5.22%
2025-06-13 03:17:19,15.34,,,-63.06%,-58.71%,-9.16%,13.38%
2025-06-13 03:30:53,15.41,,,-45.2%,-53.43%,-53.87%,-29.28%
2025-06-13 03:31:16,15.39,,,-41.69%,-36.35%,-39.46%,0.2%
2025-06-13 03:32:24,15.37,,,-8.17%,-64.08%,-80.95%,-49.18%
2025-06-13 03:33:09,15.35,,,8.29%,-73.7%,-33.07%,-73.74%
2025-06-13 03:34:17,15.33,,,-61.07%,8.74%,-58.18%,-22.86%
2025-06-13 03:35:03,15.39,,,-62.01%,12.96%,9.63%,-31.37%
2025-06-13 03:36:11,15.39,,,-60.14%,-65.09%,-76.56%,-24.28%
2025-06-13 03:37:19,15.39,,,0.58%,-2.94%,-7.34%,-83.97%
2025-06-13 03:38:05,15.42,,,-29.47%,-1.65%,-34.58%,-12.71%
2025-06-13 03:39:13,15.44,,,-12.19%,10.87%,-53.08%,12.03%
2025-06-13 03:40:21,15.47,,,-69.66%,-32.09%,-40.74%,-40.41%
2025-06-13 03:41:06,15.53,,,-80.25%,-74.09%,-19.19%,-65.27%
2025-06-13 03:42:14,15.58,,,-47.61%,-63.41%,-11.1%,-19.18%
2025-06-13 03:43:22,15.57,,,-0.11%,10.97%,-30.58%,-35.35%
2025-06-13 03:44:07,15.55,,,-61.45%,-37.08%,-3.02%,13.25%
2025-06-13 03:45:15,15.57,,,-76.61%,-81.42%,-7.45%,-57.28%
2025-06-13 03:46:23,15.58,,,-45.37%,8.55%,-18.86%,-36.48%
2025-06-13 03:47:09,15.6,,,-71.72%,-26.65%,-17.32%,-19.16%
