timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 13:43:46,59.75,,,50.24%,-1.42%,17.24%,44.22%
2025-06-12 13:44:22,59.78,,,39.23%,10.68%,-29.5%,59.47%
2025-06-12 13:45:11,59.76,,,-7.05%,7.99%,59.35%,50.72%
2025-06-12 13:46:15,59.74,,,16.44%,38.36%,-10.91%,36.07%
2025-06-12 19:24:53,61.46,,,-24.36%,-1.47%,21.31%,-20.28%
2025-06-12 19:25:17,61.49,,,-24.15%,34.34%,13.33%,-35.38%
2025-06-12 19:26:03,61.52,,,49.14%,41.15%,32.14%,-10.83%
2025-06-12 19:27:11,61.56,,,30.18%,3.78%,2.99%,-17.82%
2025-06-12 19:28:21,61.59,,,58.63%,35.19%,42.94%,-33.66%
2025-06-12 19:29:06,61.63,,,46.25%,57.24%,21.28%,1.2%
2025-06-12 19:30:14,61.66,,,24.07%,-19.16%,51.93%,43.6%
2025-06-12 19:31:23,61.69,,,57.12%,28.39%,6.35%,24.22%
2025-06-12 19:32:09,61.71,,,-8.31%,28.99%,-0.34%,-21.2%
2025-06-12 19:33:17,61.76,,,13.59%,23.57%,-21.52%,48.47%
2025-06-12 19:34:25,61.78,,,39.55%,52.3%,17.72%,-27.87%
2025-06-12 19:35:13,61.82,,,-9.37%,-10.6%,50.1%,59.39%
2025-06-12 19:36:17,61.86,,,-11.38%,-9.68%,56.27%,-21.68%
2025-06-12 19:37:24,61.91,,,-27.48%,28.25%,59.3%,-24.81%
2025-06-12 19:38:10,61.92,,,39.57%,1.7%,5.71%,49.52%
2025-06-12 19:39:28,61.9,,,-27.16%,29.48%,-16.41%,48.36%
2025-06-12 19:40:23,61.93,,,38.73%,-35.77%,-31.93%,37.8%
2025-06-12 19:41:17,61.91,,,56.32%,54.22%,60.43%,9.81%
2025-06-12 19:42:17,61.89,,,21.17%,-32.7%,0.79%,-16.26%
2025-06-12 19:43:25,61.87,,,25.47%,8.42%,-4.45%,49.93%
2025-06-12 19:44:11,61.85,,,33.31%,2.56%,46.08%,1.89%
2025-06-12 19:45:27,61.83,,,-26.77%,-9.91%,-29.56%,29.48%
2025-06-12 19:46:04,61.87,,,-1.2%,-8.75%,-18.66%,-4.74%
2025-06-12 19:47:12,61.91,,,22.21%,55.03%,-6.36%,0.48%
2025-06-12 19:48:20,61.93,,,2.75%,10.99%,59.94%,11.52%
2025-06-12 19:49:06,61.97,,,-5.36%,-31.65%,45.3%,30.75%
2025-06-12 19:50:14,62.03,,,-30.11%,18.64%,-26.38%,22.33%
2025-06-12 19:51:41,62.01,,,43.68%,41.1%,5.16%,-30.14%
2025-06-12 19:52:18,61.99,,,57.29%,-9.72%,16.34%,51.4%
2025-06-12 19:53:06,61.97,,,12.58%,-35.28%,4.18%,20%
2025-06-12 19:54:11,61.95,,,54.4%,6.93%,-27.51%,-17.9%
2025-06-12 19:55:24,61.93,,,20.92%,-14.7%,41.05%,36.34%
2025-06-12 19:56:05,61.96,,,14.94%,-11.84%,14.51%,54.8%
2025-06-12 19:57:13,61.98,,,37.68%,-23.01%,-10%,-22.12%
2025-06-13 02:11:12,65.31,,,-32.75%,-28.4%,6.64%,-27.42%
2025-06-13 02:23:00,65.48,,,19.64%,46.7%,-11.14%,2.72%
2025-06-13 02:23:22,65.51,,,-15.11%,47.99%,-25.04%,29.4%
2025-06-13 04:27:01,65.7,,,-33.63%,20.97%,13.49%,33.46%
2025-06-13 04:30:41,65.66,,,58.31%,-3.45%,61.24%,20.48%
2025-06-13 04:31:05,65.68,,,56.31%,14.94%,30.63%,57.61%
2025-06-13 04:34:02,65.74,,,-24.05%,-14.5%,33.64%,39.2%
2025-06-13 04:34:25,65.77,,,33.83%,36.17%,20.56%,42.88%
2025-06-13 04:35:11,65.82,,,11.85%,10.02%,16.47%,15.92%
2025-06-13 04:36:20,65.86,,,-15.74%,33.78%,52.38%,57.65%
2025-06-13 04:37:06,65.91,,,-33.15%,-32.58%,-17.59%,11.69%
2025-06-13 04:38:14,65.95,,,-6.64%,5.98%,3.06%,-17.57%
2025-06-13 04:39:22,66.0,,,22.62%,28.96%,-4.58%,-20.87%
2025-06-13 04:40:08,66.03,,,50.14%,41.67%,13.15%,56.65%
2025-06-13 04:41:16,66.05,,,-20.8%,47.44%,7.85%,-25.07%
2025-06-13 04:42:24,66.07,,,8.74%,15.59%,27.86%,-18.78%
2025-06-13 04:43:10,66.08,,,-12.98%,26.54%,20.41%,51.46%
2025-06-13 04:44:18,66.07,,,3.41%,-30.96%,-28.11%,9.09%
