timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 18:36:04,38.11,,,31.54%,27.4%,-51.78%,13.47%
2025-06-12 18:37:16,38.09,,,-23.55%,-51.15%,24.75%,-14.2%
2025-06-12 18:38:23,38.07,,,-26.55%,-56.42%,-45.4%,-23.19%
2025-06-12 18:39:05,38.05,,,14.73%,12.69%,37.52%,-35.69%
2025-06-12 18:40:13,38.07,,,33.03%,-27.78%,35.82%,-12.3%
2025-06-12 18:41:22,38.08,,,-61.29%,19.51%,-5.74%,-19.81%
2025-06-12 18:42:14,38.06,,,-61.51%,16.1%,36.87%,-40.64%
2025-06-12 18:43:13,38.1,,,-28.24%,-36.94%,-17.07%,14.92%
2025-06-12 18:44:21,38.13,,,-52.96%,19.25%,-16.56%,-40.89%
2025-06-12 18:45:12,38.11,,,20.06%,-43.25%,12.95%,-31.95%
2025-06-12 18:47:26,38.07,,,-32.75%,-36.39%,-3.71%,-54.28%
2025-06-12 18:48:13,38.05,,,10.91%,10.12%,23.93%,20.38%
2025-06-12 18:49:25,38.03,,,-23.14%,-7.61%,-32.47%,-12.13%
2025-06-12 18:50:06,38.01,,,-35.4%,1.17%,17%,-33.89%
2025-06-12 18:51:15,37.99,,,24.26%,-47.66%,25.36%,-3.74%
2025-06-12 18:52:29,37.97,,,28.76%,-56.08%,8.19%,19.79%
2025-06-12 18:53:16,37.95,,,-27.97%,-40.61%,-47.15%,8.05%
2025-06-12 18:54:15,37.93,,,-45.01%,-34.37%,28.78%,14.1%
2025-06-12 18:55:22,37.91,,,-15.66%,-30.75%,29.81%,7.42%
2025-06-12 18:56:07,37.89,,,-13.54%,30.98%,-58.05%,-54.89%
2025-06-12 18:57:15,37.87,,,18.8%,11.46%,-58%,-60.35%
2025-06-12 18:58:23,37.85,,,16.97%,-58.7%,23.94%,-44.29%
2025-06-12 18:59:08,37.83,,,33.78%,-5.01%,-46.12%,-21.74%
2025-06-12 19:00:45,37.81,,,-58.04%,-13.7%,-22.61%,-24.26%
2025-06-12 19:01:22,37.79,,,-30.76%,15.38%,-46.06%,2.82%
2025-06-12 19:02:04,37.77,,,-22.2%,-56.3%,35.28%,-16.47%
2025-06-12 19:03:11,37.75,,,-21.04%,-54.01%,-5.46%,-21.61%
2025-06-12 19:04:26,37.73,,,-56.14%,-16.24%,-30.42%,-4.73%
2025-06-12 19:05:20,37.77,,,-4.77%,-40.24%,7.64%,19.66%
