timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 21:49:58,53.39,,,-3.69%,20.43%,41.66%,-43.79%
2025-06-12 21:50:22,53.43,,,5.2%,-34.5%,21.98%,-17.3%
2025-06-12 21:51:07,53.45,,,1.72%,-29.41%,-45.07%,-36.67%
2025-06-12 21:52:15,53.48,,,20.26%,-27.07%,46.11%,-9.66%
2025-06-12 22:06:09,53.76,,,-18.99%,-1.58%,-21.23%,-6.95%
2025-06-12 22:07:18,53.79,,,-35.6%,-34.41%,32.36%,37.11%
2025-06-12 22:08:03,53.8,,,43.75%,48.3%,23.62%,6.2%
2025-06-12 22:09:11,53.82,,,51.05%,8.88%,3.25%,24.76%
2025-06-12 22:10:19,53.85,,,-0.79%,-15.98%,18.95%,47.07%
2025-06-12 22:11:05,53.9,,,-19.77%,-18.17%,-44.7%,-35.54%
2025-06-12 22:12:13,53.9,,,30.43%,-1.61%,27.71%,25.8%
2025-06-12 22:13:32,53.9,,,32.02%,8.15%,-13.54%,-27.44%
2025-06-12 22:14:11,53.94,,,-18.47%,0.83%,9.51%,24.26%
2025-06-12 22:15:15,53.96,,,27.81%,-14.56%,-2.47%,45.2%
2025-06-12 22:17:25,53.97,,,-26.37%,16.98%,-39.81%,-27.45%
2025-06-12 22:18:11,54.0,,,31.99%,39.93%,4.18%,13.55%
2025-06-12 22:19:20,54.02,,,3.42%,-39.42%,36.96%,-30.16%
2025-06-12 22:20:06,54.03,,,24.97%,-11.05%,-4.52%,-5.51%
2025-06-12 22:21:24,54.01,,,-23.26%,23.03%,-28.93%,-10.58%
2025-06-12 22:22:19,53.99,,,-20.04%,39.73%,12.81%,36.28%
2025-06-12 23:01:04,54.66,,,-14.83%,36.12%,25.21%,-30.12%
2025-06-12 23:02:14,54.64,,,-17.53%,10.52%,-22.87%,29.03%
2025-06-12 23:03:22,54.62,,,-16.71%,14.15%,-6.26%,-6.67%
2025-06-12 23:04:09,54.6,,,-8.47%,-20.89%,18.96%,52.68%
2025-06-12 23:05:19,54.58,,,50.56%,5.37%,-32.15%,-2.44%
2025-06-12 23:06:26,54.56,,,45.17%,-5.7%,5.7%,11.41%
2025-06-12 23:07:14,54.54,,,50.45%,31.84%,31.24%,-15.43%
2025-06-12 23:08:17,54.52,,,40.71%,39.85%,44.04%,-30.16%
2025-06-12 23:09:24,54.5,,,29.23%,-34.89%,-42.51%,-21.2%
2025-06-12 23:10:13,54.48,,,-18.24%,50.47%,-44.95%,23.63%
2025-06-12 23:11:16,54.46,,,-45.26%,4.69%,20.12%,21.2%
2025-06-12 23:12:27,54.44,,,14.48%,48.84%,34.64%,8.86%
2025-06-12 23:13:14,54.42,,,-17.56%,-43.22%,-19.57%,-42.5%
2025-06-12 23:14:12,54.4,,,40.12%,12.57%,9.23%,36.16%
2025-06-12 23:15:20,54.38,,,37.12%,-24.79%,-44.23%,-11.71%
2025-06-12 23:16:24,54.42,,,-17.01%,-25.03%,-40.28%,-38.5%
2025-06-12 23:17:10,54.45,,,36.41%,9.8%,-20.7%,48.72%
2025-06-12 23:18:18,54.5,,,-4.62%,30.15%,31.57%,-22.06%
2025-06-12 23:19:03,54.53,,,33.91%,10.1%,-22.71%,-8.44%
2025-06-12 23:20:11,54.54,,,-40.49%,-23.99%,23.8%,-2.61%
2025-06-12 23:21:19,54.58,,,39.05%,-8.71%,29.09%,45.04%
2025-06-12 23:22:05,54.61,,,0.75%,38.54%,-26.32%,15.69%
2025-06-12 23:23:13,54.63,,,-45.08%,23.61%,36.23%,-38.32%
2025-06-12 23:24:20,54.68,,,-2.22%,-18.3%,33.55%,-5.57%
2025-06-12 23:25:06,54.73,,,-8.51%,30.55%,-13.17%,-35.99%
2025-06-12 23:26:20,54.71,,,-19.42%,-40.89%,43.35%,15.37%
2025-06-12 23:27:20,54.69,,,-40.75%,24.04%,24.54%,-42.27%
2025-06-12 23:28:06,54.67,,,9.12%,45.99%,-21.09%,50.34%
2025-06-12 23:29:18,54.65,,,-27.08%,-36.32%,28.3%,30.84%
2025-06-12 23:30:21,54.7,,,34.22%,-39.22%,-18.37%,-32.65%
2025-06-12 23:31:07,54.74,,,-8.94%,13.21%,4.82%,-18.37%
2025-06-12 23:32:15,54.8,,,30.56%,0.36%,-10.48%,11.96%
2025-06-12 23:33:23,54.84,,,52.62%,-30.43%,33.69%,1.99%
2025-06-12 23:34:09,54.86,,,17.53%,-21.45%,48.34%,-33.18%
2025-06-12 23:35:22,54.84,,,38.35%,-31.58%,27.51%,28%
2025-06-12 23:36:03,54.82,,,35.11%,20.28%,-29.01%,4.3%
2025-06-12 23:37:12,54.8,,,46.96%,-43.53%,-16.54%,49.28%
