timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-13 00:01:41,30.01,,,-29.06%,-3.81%,-13.7%,-45.98%
2025-06-13 00:02:25,29.99,,,21.26%,16%,-67.73%,14.31%
2025-06-13 00:03:10,29.97,,,-62.82%,-22.94%,-34.04%,-4.25%
2025-06-13 00:04:22,29.95,,,-64.58%,21.06%,-18.75%,18.75%
2025-06-13 00:05:21,29.93,,,-4.68%,-63.12%,-27.55%,16.33%
2025-06-13 00:06:21,29.91,,,6.96%,20.79%,-18.15%,-6.29%
2025-06-13 00:07:23,29.89,,,1.52%,-13.09%,25.67%,-37.34%
2025-06-13 00:08:23,29.87,,,-49.22%,-65.09%,14.47%,-37.61%
2025-06-13 00:09:24,29.85,,,-64.92%,-66.19%,-11.54%,-45.13%
2025-06-13 00:10:26,29.83,,,-65.09%,-8.35%,-45.63%,-40.92%
2025-06-13 00:11:33,29.81,,,9.03%,-33.39%,0.38%,20.72%
2025-06-13 00:12:17,29.79,,,-54.57%,-11.7%,-32.55%,11.51%
2025-06-13 00:13:14,29.77,,,-65.45%,-34.43%,-5.64%,23.94%
2025-06-13 00:14:21,29.75,,,-0.38%,24.72%,-35.73%,0.6%
2025-06-13 00:15:32,29.73,,,17.54%,-19.22%,20.63%,-13.55%
2025-06-13 00:16:17,29.71,,,21.19%,7.88%,-30.17%,-41.93%
2025-06-13 00:17:29,29.69,,,-33.75%,-20.08%,-54.42%,-44.24%
2025-06-13 00:18:27,29.67,,,-8.31%,-24.97%,12.4%,-36.88%
2025-06-13 00:19:12,29.65,,,-34.53%,29.07%,-34.52%,-33.16%
