timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-05 02:51:10 AM,86.04,red,13.87,-12.97,0.55,45.25
2025-08-05 02:52:10 AM,86.02,red,5.33,4.85,9.35,52.61
2025-08-05 02:53:00 AM,86.0,red,39.41,-0.12,4.46,-12.92
2025-08-05 02:54:00 AM,85.98,red,44.31,29.6,24.5,82.97
2025-08-05 02:55:08 AM,85.96,red,36.32,61.37,-4.11,-7.79
2025-08-05 02:56:08 AM,85.97,red,43.45,-3.32,68.22,52.0
2025-08-05 02:57:09 AM,86.02,red,49.99,-6.65,15.03,36.3
2025-08-05 02:58:09 AM,86.07,red,82.8,75.59,29.42,81.33
2025-08-05 02:59:00 AM,86.08,red,18.09,-8.61,5.76,-13.17
2025-08-05 02:59:10 AM,86.08,red,25.3,22.3,3.64,53.7
2025-08-05 03:00:00 AM,86.1,red,78.16,13.83,36.63,84.51
2025-08-05 03:01:00 AM,86.08,red,69.61,3.27,22.42,55.72
2025-08-05 03:02:01 AM,86.06,red,10.15,76.39,41.67,85.51
2025-08-05 03:03:08 AM,86.04,red,2.22,6.21,16.17,29.69
2025-08-05 03:04:08 AM,86.02,red,76.83,29.07,-7.89,21.14
2025-08-05 03:05:09 AM,86.05,red,-1.63,-0.52,12.42,13.79
2025-08-05 03:06:09 AM,86.07,red,28.72,-5.04,52.16,5.94
2025-08-05 03:07:09 AM,86.08,red,-1.86,0.94,-2.66,34.96
2025-08-05 03:08:08 AM,86.1,red,11.9,37.08,80.62,25.99
2025-08-10 03:45:29 AM,40.73,red,14.8,-53.95,-31.66,-2.64
2025-08-10 03:46:18 AM,40.71,red,25.15,-13.12,-39.42,-21.29
2025-08-10 03:47:00 AM,40.69,red,18.68,-30.2,23.88,-24.8
2025-08-10 03:48:08 AM,40.67,red,-1.21,-42.15,-0.41,17.6
2025-08-10 03:49:09 AM,40.65,red,31.1,-22.25,10.31,17.7
2025-08-10 03:50:09 AM,40.63,red,34.37,-45.55,22.65,-2.97
2025-08-10 03:51:09 AM,40.61,red,15.53,26.57,6.31,-29.59
2025-08-10 03:52:09 AM,40.59,red,-31.96,-22.74,-54.36,-38.77
2025-08-10 03:53:10 AM,40.57,red,23.03,-32.05,24.6,-1.08
2025-08-10 03:54:10 AM,40.55,red,-40.61,15.14,-31.04,18.62
2025-08-10 03:55:00 AM,40.53,red,16.61,-20.35,-37.2,-58.35
2025-08-10 03:56:00 AM,40.51,red,32.34,-28.95,37.73,-17.38
2025-08-10 03:57:01 AM,40.49,red,-36.94,-31.35,-4.66,-2.57
2025-08-10 03:58:08 AM,40.47,red,-36.04,3.94,-18.93,-26.27
2025-08-10 03:59:08 AM,40.45,red,-22.85,-18.24,-40.74,-48.56
2025-08-10 04:00:18 AM,40.43,red,-27.35,-15.54,-53.92,11.94
2025-08-10 04:01:08 AM,40.41,red,-5.67,24.51,-7.63,-15.66
2025-08-10 04:07:59 AM,40.4,red,-48.29,-37.66,-39.75,29.08
2025-08-10 04:08:08 AM,40.44,red,-52.52,-24.06,-12.34,-52.66
2025-08-10 04:09:08 AM,40.44,red,-26.57,9.8,7.98,31.36
2025-08-10 04:10:09 AM,40.42,red,-10.32,-36.48,-52.64,-41.62
2025-08-10 04:11:09 AM,40.4,red,27.91,19.15,25.01,24.04
2025-08-10 04:12:09 AM,40.38,red,18.64,-28.24,-25.15,6.2
