timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-30 07:22:28 PM,43.1,red,-48.47,14.24,-13.06,-51.25
2025-07-30 07:23:09 PM,43.16,red,-37.67,21.01,-26.28,-53.03
2025-07-30 07:24:10 PM,43.2,red,36.66,37.3,1.48,41.67
2025-07-30 07:25:08 PM,43.18,red,31.22,-7.64,-3.96,-34.18
2025-07-30 07:26:09 PM,43.16,red,-47.12,32.24,27.73,24.61
2025-07-30 07:27:00 PM,43.15,red,-14.46,-5.58,-56.22,-43.1
2025-07-30 07:27:11 PM,43.14,red,-12.0,31.35,-20.12,-19.52
2025-07-30 07:28:09 PM,43.12,red,-2.15,1.42,-56.48,24.48
2025-07-30 07:29:10 PM,43.1,red,16.76,-38.28,-6.04,-43.47
2025-07-30 07:30:08 PM,43.08,red,38.44,-52.6,36.34,-13.12
2025-07-30 07:31:10 PM,43.06,red,-46.04,-20.63,-20.24,-34.99
2025-07-30 07:32:00 PM,43.04,red,-34.72,-45.08,-44.39,-30.48
2025-07-30 07:33:08 PM,43.02,red,42.7,36.69,-6.35,38.43
2025-07-30 07:34:10 PM,43.0,red,-38.3,-56.93,3.71,-33.0
2025-07-30 07:35:01 PM,43.04,red,-26.1,33.31,-43.4,-48.26
2025-07-30 07:36:00 PM,43.08,red,38.84,16.87,-5.62,-4.62
2025-07-30 07:37:08 PM,43.13,red,9.27,-34.4,34.63,23.3
2025-07-30 07:38:10 PM,43.18,red,30.21,15.29,-50.6,-39.27
2025-07-30 07:39:00 PM,43.22,red,38.07,35.17,14.48,3.57
2025-07-30 07:40:00 PM,43.26,red,42.67,-55.34,4.59,20.05
2025-07-30 07:41:08 PM,43.24,red,-14.79,3.71,-40.92,-13.72
2025-07-30 07:42:09 PM,43.22,red,-29.98,1.28,-14.7,33.73
2025-07-30 07:43:10 PM,43.2,red,16.44,-2.48,-38.76,2.04
2025-07-30 07:44:08 PM,43.18,red,-2.67,19.65,-15.47,-2.83
2025-07-30 07:45:09 PM,43.16,red,5.2,-11.77,-42.77,-31.26
2025-07-30 07:46:00 PM,43.14,red,-23.19,14.02,36.1,28.15
2025-07-30 07:47:01 PM,43.12,red,4.86,31.29,-16.68,33.08
2025-07-30 07:48:10 PM,43.1,red,-8.41,16.19,7.2,-15.24
2025-07-30 07:49:00 PM,43.08,red,-5.82,-8.32,7.46,-25.3
2025-07-30 07:50:08 PM,43.06,red,13.97,5.61,-19.56,26.31
2025-07-30 07:51:00 PM,43.04,red,12.56,-50.36,15.56,-0.18
