timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-30 07:18:18 AM,39.38,red,-32.46,-8.38,-24.46,-14.75
2025-07-30 07:19:09 AM,39.36,red,-50.62,-12.84,-39.01,21.59
2025-07-30 07:20:00 AM,39.39,red,-30.03,22.45,-38.57,-10.18
2025-07-30 07:21:10 AM,39.41,red,-38.78,24.04,-16.48,-5.6
2025-07-30 07:22:08 AM,39.45,red,-15.53,12.09,-23.87,-59.45
2025-07-30 07:23:09 AM,39.49,red,-56.76,-43.42,-1.59,2.7
2025-07-30 07:24:09 AM,39.53,red,-47.69,5.39,24.98,-25.74
2025-07-30 07:25:01 AM,39.51,red,25.04,-55.69,-52.94,-53.3
2025-07-30 07:26:09 AM,39.49,red,-19.58,-25.75,-13.31,25.93
2025-07-30 07:27:00 AM,39.47,red,27.43,27.25,14.47,23.49
2025-07-30 07:28:08 AM,39.45,red,-0.03,23.03,0.59,-28.83
2025-07-30 07:29:09 AM,39.43,red,-55.54,14.08,-51.32,21.51
2025-07-30 07:30:09 AM,39.41,red,-4.2,-3.89,-50.93,-51.59
2025-07-30 07:31:09 AM,39.44,red,-5.24,23.98,-32.83,21.49
2025-07-30 07:32:10 AM,39.48,red,-5.75,-35.47,-47.34,-25.88
