timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-26 02:21:01 AM,93.91,red,53.11,3.05,34.03,24.47
2025-07-26 02:22:00 AM,93.89,red,24.69,50.08,86.11,10.96
2025-07-26 02:23:12 AM,93.87,red,76.95,6.5,32.95,61.11
2025-07-26 02:24:01 AM,93.85,red,61.43,35.85,30.57,68.06
2025-07-26 02:25:10 AM,93.83,red,63.86,24.64,59.01,34.04
2025-07-26 02:26:01 AM,93.81,red,-1.72,56.02,12.92,68.94
2025-07-26 02:33:52 AM,97.52,red,61.95,40.09,13.78,3.62
2025-07-26 02:34:01 AM,97.53,red,89.27,26.38,78.89,70.35
2025-07-26 02:35:01 AM,97.51,red,-1.87,83.12,32.7,67.88
2025-07-26 02:36:20 AM,97.49,red,97.29,22.93,49.77,54.22
2025-07-26 02:37:01 AM,97.47,red,87.23,35.91,39.6,32.25
2025-07-26 02:38:20 AM,97.45,red,58.23,93.71,21.43,76.07
2025-07-26 02:39:01 AM,97.43,red,41.2,9.16,45.01,36.4
