timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 02:14:48 PM,50.77,red,30.83,33.16,-6.61,2.73
2025-07-28 02:15:08 PM,50.75,red,20.88,8.17,-42.28,22.06
2025-07-28 02:16:08 PM,50.78,red,35.51,41.86,-34.83,15.84
2025-07-28 02:17:09 PM,50.81,red,41.02,14.29,-18.25,7.07
2025-07-28 02:18:09 PM,50.82,red,43.53,-23.89,-3.59,-45.45
2025-07-28 02:19:10 PM,50.83,red,5.78,33.64,39.98,38.79
2025-07-28 02:20:00 PM,50.81,red,39.77,17.16,-5.15,11.37
2025-07-28 02:21:01 PM,50.79,red,-2.24,-21.27,6.19,-4.37
2025-07-28 02:22:08 PM,50.77,red,32.4,20.24,-24.87,11.28
2025-07-28 02:23:09 PM,50.75,red,6.28,-19.91,42.84,-40.44
2025-07-28 02:24:09 PM,50.73,red,-31.49,-15.28,-0.87,31.68
2025-07-28 02:25:10 PM,50.71,red,-36.5,-8.26,-42.73,5.28
2025-07-28 02:26:00 PM,50.69,red,-32.25,12.55,-5.35,10.09
2025-07-28 02:27:01 PM,50.67,red,-15.77,15.87,-28.46,-6.77
