timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-29 10:47:28 PM,44.75,red,37.53,-14.35,-46.37,-33.34
2025-07-29 10:48:08 PM,44.76,red,-48.74,34.23,5.44,-10.54
2025-07-29 10:49:08 PM,44.79,red,37.68,17.83,-27.98,-15.91
2025-07-29 10:50:09 PM,44.82,red,0.29,33.11,25.63,28.01
2025-07-29 10:51:09 PM,44.84,red,-6.6,41.41,6.59,-50.62
2025-07-29 10:52:09 PM,44.9,red,-51.0,6.14,33.49,-23.02
2025-07-29 10:53:00 PM,44.95,red,27.5,-54.08,-8.27,5.75
2025-07-29 10:54:08 PM,44.98,red,-6.24,-35.81,-15.8,43.29
2025-07-29 10:55:09 PM,45.03,red,11.38,-15.83,40.47,-6.61
2025-07-29 10:56:10 PM,45.08,red,-39.58,-49.4,-37.39,23.73
2025-07-29 10:57:10 PM,45.1,red,-14.54,-16.04,-8.24,-12.7
2025-07-29 10:58:18 PM,45.11,red,-47.47,44.37,-10.29,17.36
2025-07-29 10:59:00 PM,45.13,red,11.53,-38.31,6.33,-42.16
2025-07-29 11:00:19 PM,45.13,red,-17.16,18.3,5.4,-7.58
2025-07-29 11:01:01 PM,45.11,red,-4.41,-46.55,-24.37,15.76
2025-07-29 11:02:00 PM,45.09,red,-20.75,-7.63,-31.18,29.54
2025-07-29 11:03:09 PM,45.07,red,36.79,-13.7,-18.47,-26.55
2025-07-29 11:04:09 PM,45.05,red,10.71,-10.19,35.25,-12.12
2025-07-29 11:05:09 PM,45.03,red,24.41,24.77,0.26,-17.89
2025-07-29 11:06:08 PM,45.09,red,3.68,-7.62,21.36,-46.05
2025-07-29 11:07:10 PM,45.15,red,-9.92,39.14,-31.27,42.52
2025-07-29 11:08:10 PM,45.16,red,-44.07,-43.7,27.66,-51.82
2025-07-29 11:09:09 PM,45.17,red,-41.84,25.08,-8.83,-28.27
2025-07-29 11:10:10 PM,45.18,red,-24.63,20.91,35.84,-32.78
2025-07-29 11:11:08 PM,45.23,red,-29.79,-9.4,7.33,-21.79
2025-07-29 11:12:18 PM,45.27,red,-23.98,-36.44,-27.48,-43.95
2025-07-29 11:13:00 PM,45.31,red,-17.71,4.07,9.41,29.35
2025-07-29 11:14:00 PM,45.36,red,-31.57,-51.35,39.22,-38.55
2025-07-29 11:15:09 PM,45.34,red,-50.85,42.79,15.66,31.98
2025-07-29 11:16:00 PM,45.32,red,28.34,-20.1,3.92,-7.56
2025-07-29 11:17:08 PM,45.3,red,6.75,-35.17,41.79,-45.18
2025-07-29 11:18:01 PM,45.28,red,40.55,-28.23,-21.16,11.54
2025-07-29 11:19:09 PM,45.26,red,-34.16,-46.04,1.27,-54.12
2025-07-29 11:20:09 PM,45.3,red,6.11,-49.34,-49.96,-54.65
