timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 11:24:38 AM,18.08,red,-77.98,-73.09,-37.33,-73.15
2025-07-28 11:25:18 AM,18.14,red,-79.55,-0.67,-63.45,-57.08
2025-07-28 11:26:00 AM,18.17,red,9.54,-47.76,-30.01,-48.4
2025-07-28 11:27:00 AM,18.22,red,-55.02,-68.96,-5.98,-55.69
2025-07-28 11:28:00 AM,18.26,red,3.22,8.5,-55.51,15.37
2025-07-28 11:29:00 AM,18.29,red,-3.56,-58.72,-19.53,-57.27
2025-07-28 11:30:01 AM,18.33,red,0.04,-9.12,-27.06,-75.83
2025-07-28 11:31:08 AM,18.37,red,-62.49,-26.8,-58.05,-50.74
2025-07-28 11:32:08 AM,18.39,red,-27.04,-53.68,9.39,-61.96
2025-07-30 06:23:48 PM,35.72,red,3.17,-4.62,-3.91,2.93
2025-07-30 06:24:10 PM,35.77,red,28.73,-17.96,13.66,-62.67
2025-07-30 06:25:10 PM,35.75,red,-44.11,4.29,-52.86,-56.74
2025-07-30 06:26:01 PM,35.73,red,-14.24,-19.81,19.03,-31.3
2025-07-30 06:27:08 PM,35.71,red,-60.07,-26.43,35.52,5.29
2025-07-30 06:28:09 PM,35.69,red,-35.34,-54.29,-6.88,-54.86
2025-07-30 06:29:00 PM,35.67,red,30.52,12.17,-12.37,28.78
2025-07-30 06:30:00 PM,35.7,red,-3.19,21.95,-2.8,-23.47
2025-07-30 06:31:01 PM,35.75,red,-3.88,-46.46,-13.7,25.79
2025-07-30 06:32:10 PM,35.79,red,34.33,34.93,-46.79,33.55
2025-07-30 06:33:10 PM,35.83,red,-59.13,14.87,-13.81,2.53
2025-07-30 06:34:00 PM,35.87,red,-35.85,-49.94,-25.05,-36.71
2025-07-30 06:35:01 PM,35.92,red,29.49,3.16,9.39,-56.7
2025-07-30 06:36:09 PM,35.95,red,-20.87,-48.82,-59.7,-1.63
2025-07-30 06:37:10 PM,35.99,red,-22.23,-39.49,-8.06,-22.25
2025-07-30 06:38:00 PM,36.01,red,10.52,-25.62,-60.1,19.71
2025-07-30 06:39:01 PM,36.03,red,31.72,-56.32,18.7,10.04
2025-07-30 06:40:09 PM,36.07,red,17.87,1.38,-59.94,-4.65
2025-07-30 06:41:00 PM,36.05,red,-50.27,-36.35,13.4,-16.48
2025-07-30 06:42:08 PM,36.03,red,-60.84,8.84,6.52,-27.84
2025-07-30 06:43:09 PM,36.01,red,7.22,-29.92,-46.5,27.7
2025-07-30 06:44:00 PM,35.99,red,-2.03,-32.89,-58.48,-30.25
2025-07-30 06:45:01 PM,35.97,red,19.54,24.59,-15.33,30.61
2025-07-30 06:46:00 PM,35.95,red,15.64,29.74,-8.55,24.55
2025-07-30 06:47:00 PM,35.98,red,-19.07,3.43,-48.45,-53.27
2025-07-30 06:48:08 PM,36.0,red,-36.88,-53.96,-7.22,-46.84
2025-07-30 06:49:00 PM,36.01,red,-3.45,-5.63,-21.84,-13.1
2025-07-30 06:50:10 PM,35.99,red,-57.92,-60.2,-29.63,-0.87
2025-07-30 06:51:00 PM,35.97,red,-45.27,26.58,5.49,-49.28
2025-08-02 09:28:48 PM,55.93,red,24.67,-15.17,39.8,2.13
2025-08-02 09:29:08 PM,55.93,red,49.69,-25.63,-38.31,42.63
2025-08-02 09:30:08 PM,55.94,red,-25.94,-26.43,18.16,-26.64
2025-08-02 09:31:09 PM,55.97,red,-32.4,9.27,6.64,45.94
2025-08-02 09:32:09 PM,55.99,red,-23.39,28.46,-16.57,9.35
2025-08-02 09:33:09 PM,56.02,red,41.23,51.8,-6.16,16.42
