timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-05 03:10:08 AM,62.21,red,-22.03,17.01,41.5,50.91
2025-08-05 03:11:08 AM,62.23,red,45.71,-13.51,52.61,59.14
2025-08-05 03:12:08 AM,62.27,red,38.86,15.68,39.48,-34.06
2025-08-05 03:13:18 AM,62.3,red,30.92,-3.77,-7.19,-28.29
2025-08-05 03:14:10 AM,62.33,red,-7.15,32.79,54.85,3.73
2025-08-05 03:15:00 AM,62.39,red,40.24,41.29,28.06,16.35
2025-08-05 03:15:10 AM,62.33,red,-7.15,32.79,54.85,3.73
2025-08-05 03:15:20 AM,62.39,red,40.24,41.29,28.06,16.35
2025-08-05 03:16:00 AM,62.43,red,59.44,27.58,4.43,49.43
2025-08-05 03:17:01 AM,62.49,red,2.46,50.09,15.57,45.83
2025-08-05 03:18:08 AM,62.54,red,57.23,47.75,62.06,7.47
2025-08-05 03:19:08 AM,62.58,red,-26.05,44.0,52.74,56.89
2025-08-05 03:20:08 AM,62.62,red,34.06,-29.37,-7.93,18.33
2025-08-05 03:21:09 AM,62.66,red,41.65,38.98,57.69,17.63
2025-08-05 03:22:09 AM,62.7,red,-28.29,61.67,-32.2,46.45
2025-08-05 03:23:00 AM,62.71,red,-2.66,3.49,48.22,-4.92
2025-08-05 03:23:09 AM,62.74,red,59.24,24.81,-25.19,-34.82
2025-08-05 03:24:00 AM,62.77,red,-12.63,1.05,50.56,27.96
2025-08-05 03:25:00 AM,62.78,red,58.37,52.16,-13.83,-27.25
2025-08-05 03:26:08 AM,62.81,red,16.07,14.84,18.02,28.06
2025-08-05 03:27:00 AM,62.8,red,19.23,-36.51,-2.21,-15.69
2025-08-05 03:28:00 AM,62.83,red,-36.1,45.22,14.57,-25.67
2025-08-05 03:29:08 AM,62.85,red,56.14,2.07,44.87,25.02
2025-08-05 03:30:08 AM,62.88,red,-2.26,9.53,-19.19,-11.35
2025-08-05 03:31:08 AM,62.86,red,-26.29,12.35,30.68,14.74
2025-08-05 03:32:08 AM,62.84,red,60.74,47.37,46.09,18.63
2025-08-05 03:33:01 AM,62.82,red,10.87,-19.69,24.35,-11.52
2025-08-05 03:34:08 AM,62.8,red,11.39,57.44,-30.32,-28.92
2025-08-05 03:35:08 AM,62.78,red,-3.32,-15.41,24.26,22.02
2025-08-05 03:36:08 AM,62.76,red,55.7,29.43,59.69,20.7
2025-08-05 03:37:18 AM,62.74,red,27.66,-6.73,-2.66,48.84
2025-08-05 03:38:08 AM,62.72,red,49.0,55.38,15.5,46.47
2025-08-05 03:39:18 AM,62.7,red,-4.25,-17.27,34.43,58.12
2025-08-05 03:40:00 AM,62.73,red,15.92,-10.24,17.17,-31.12
2025-08-05 03:41:08 AM,62.77,red,-14.0,18.04,53.73,-30.17
2025-08-05 03:42:08 AM,62.82,red,27.52,16.42,8.42,19.32
2025-08-05 06:55:58 AM,65.02,red,-3.31,64.97,48.14,35.4
