timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-01 06:03:40 AM,53.43,red,-42.5,16.53,16.81,-28.31
2025-08-01 06:04:00 AM,53.47,red,-34.83,1.61,29.18,5.56
2025-08-01 06:05:00 AM,53.51,red,43.68,-26.85,-3.29,22.4
2025-08-01 06:06:08 AM,53.55,red,28.1,-9.47,-19.23,-42.45
2025-08-01 06:07:08 AM,53.56,red,37.24,52.7,-20.06,-34.88
2025-08-01 06:08:08 AM,53.58,red,-13.27,-3.66,-45.74,-20.73
2025-08-01 06:09:09 AM,53.61,red,-1.43,-41.45,8.68,26.91
2025-08-01 06:10:09 AM,53.59,red,28.55,10.53,45.31,-27.96
2025-08-01 06:11:09 AM,53.57,red,-12.64,-6.87,44.66,35.47
2025-08-01 06:12:18 AM,53.55,red,40.92,-7.0,30.23,44.96
2025-08-01 06:13:00 AM,53.53,red,-5.59,-33.84,-10.56,24.34
2025-08-01 06:14:00 AM,53.51,red,-10.05,-11.38,25.78,-31.98
2025-08-01 06:15:08 AM,53.52,red,28.45,-14.46,-20.72,-14.92
2025-08-01 06:16:08 AM,53.55,red,14.48,7.09,34.86,38.21
2025-08-01 06:17:09 AM,53.56,red,-0.25,-22.95,2.35,-10.01
2025-08-01 06:18:09 AM,53.57,red,2.12,48.58,8.48,19.54
