timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-05 04:09:48 AM,75.52,red,30.02,73.81,-2.2,10.22
2025-08-05 04:10:08 AM,75.5,red,-5.61,57.7,10.39,38.83
2025-08-05 04:11:08 AM,75.55,red,68.8,30.6,5.61,31.01
2025-08-05 04:12:08 AM,75.59,red,-6.47,-6.11,18.36,55.78
2025-08-14 06:44:28 PM,80.07,red,-0.77,27.73,45.66,3.35
2025-08-14 06:44:30 PM,81.84,red,26.62,25.1,45.53,54.1
2025-08-14 06:44:41 PM,83.28,red,45.22,47.88,83.09,72.57
2025-08-14 06:44:52 PM,85.0,red,-12.92,78.95,10.21,59.17
2025-08-14 06:45:01 PM,87.08,red,57.93,50.5,30.02,-3.29
2025-08-14 06:45:11 PM,88.38,red,47.46,74.23,0.59,15.06
2025-08-14 06:45:21 PM,89.11,red,27.94,-7.43,21.88,7.73
2025-08-14 06:45:31 PM,91.07,red,79.49,-0.84,48.76,16.46
2025-08-14 06:45:41 PM,93.4,red,31.18,84.94,32.74,62.7
2025-08-14 06:45:51 PM,95.12,red,64.26,80.94,13.77,24.58
2025-08-14 06:46:02 PM,97.4,red,51.63,6.1,13.32,1.8
2025-08-14 06:46:11 PM,98.03,red,44.17,72.61,61.28,58.48
2025-08-14 06:46:21 PM,98.77,red,66.53,56.17,72.05,-0.57
2025-08-14 06:46:31 PM,100,red,75.66,67.61,45.7,19.39
2025-08-14 06:46:41 PM,24.39,red,-49.31,10.35,-2.6,-49.45
2025-08-14 06:46:51 PM,25.54,red,-50.14,-10.67,13.41,-6.25
2025-08-14 06:47:01 PM,27.78,red,4.3,-4.57,-55.75,-8.6
2025-08-14 06:47:11 PM,29.29,red,-33.7,-46.01,-15.23,-27.44
2025-08-14 06:47:21 PM,30.67,red,-39.82,-13.18,11.09,-59.83
2025-08-14 06:47:31 PM,32.36,red,-39.35,-28.21,-10.3,17.37
2025-08-14 06:47:41 PM,33.17,red,2.26,-46.75,-6.77,-7.35
2025-08-14 06:47:51 PM,35.29,red,17.7,-61.48,10.19,-24.38
2025-08-14 06:48:01 PM,37.26,red,-47.49,-39.66,-10.04,-49.74
2025-08-14 06:48:11 PM,38.83,red,25.03,15.73,22.1,10.64
2025-08-14 06:48:21 PM,41.08,red,-51.81,-25.85,-47.56,15.38
2025-08-14 06:48:31 PM,42.61,red,-6.32,-48.15,21.95,41.74
2025-08-14 06:48:41 PM,44.41,red,-50.25,26.41,-32.06,-11.24
2025-08-14 06:48:51 PM,45.12,red,35.57,-54.32,-29.74,-34.51
2025-08-14 06:49:01 PM,46.12,red,-48.49,44.62,-43.73,16.01
2025-08-14 06:49:11 PM,46.99,red,-40.15,-17.34,10.78,22.03
2025-08-14 06:49:21 PM,48.38,red,20.94,-4.86,-32.58,-44.17
2025-08-14 06:49:31 PM,49.69,red,-25.82,31.09,45.32,-7.05
2025-08-14 06:49:42 PM,50.21,red,-14.6,-33.95,-30.34,-37.4
2025-08-14 06:49:51 PM,52.27,red,-39.53,-35.38,-25.09,7.78
2025-08-14 06:50:01 PM,54.05,red,42.02,-11.58,18.84,33.48
2025-08-14 06:50:11 PM,55.99,red,-33.43,28.97,-42.89,-4.76
2025-08-14 06:50:21 PM,57.59,red,-22.75,-16.83,42.18,2.39
2025-08-14 06:50:31 PM,58.28,red,15.41,17.81,-35.06,33.31
2025-08-14 06:50:41 PM,58.88,red,-4.78,-15.06,1.48,7.31
2025-08-14 06:50:51 PM,60.38,red,24.08,20.26,-35.9,35.28
2025-08-14 06:51:01 PM,62.85,red,39.3,54.23,-0.57,40.15
2025-08-14 06:51:11 PM,65.14,red,-2.29,32.38,14.63,-9.25
2025-08-14 06:51:22 PM,66.02,red,17.26,43.55,50.78,45.15
2025-08-14 06:51:32 PM,67.35,red,61.73,56.64,14.86,0.2
2025-08-14 06:51:42 PM,69.24,red,49.57,64.8,-15.33,37.93
2025-08-14 06:51:52 PM,70.88,red,54.14,29.33,16.5,46.81
2025-08-14 06:52:01 PM,72.72,red,31.23,-14.41,-24.83,12.62
2025-08-14 06:52:11 PM,74.14,red,59.37,14.37,20.29,2.8
2025-08-14 06:52:21 PM,76.23,red,-16.94,16.85,26.35,-5.47
2025-08-14 06:52:31 PM,77.49,red,-3.36,73.07,-12.77,34.18
2025-08-14 06:52:41 PM,78.55,red,-16.65,72.64,19.78,28.69
2025-08-14 06:52:52 PM,79.49,red,7.59,0.56,51.57,-9.18
