Date,Product,Game,Stake,Valid Bet,Win/Loss
2025-06-22 06:09:39,JILI,Fortune Gems,2.00,2.00,-2.00
2025-06-22 06:13:43,JILI,Fortune Gems 3,3.00,3.00,-3.00
2025-06-22 06:13:50,JILI,Fortune Gems 3,5.00,5.00,-5.00
2025-06-22 06:13:53,JILI,Fortune Gems 3,3.00,3.00,-3.00
2025-06-22 06:13:56,JILI,Fortune Gems 3,2.00,2.00,-2.00
2025-06-22 06:14:03,JILI,Fortune Gems 3,3.00,3.00,-3.00
2025-06-22 06:14:07,JILI,Fortune Gems 3,1.50,1.50,-1.50
2025-06-22 06:14:10,JILI,Fortune Gems 3,0.75,0.75,-0.75
2025-06-22 06:14:42,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:14:43,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:14:47,JILI,Fortune Gems 2,1.00,1.00,-1.00
2025-06-22 06:14:48,JILI,Fortune Gems 2,1.00,1.00,0.20
2025-06-22 06:15:05,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:15:07,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:15:09,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:15:12,JILI,Fortune Gems 2,1.00,1.00,-1.00
2025-06-22 06:16:43,JILI,Fortune Gems 2,8.00,8.00,-8.00
2025-06-22 06:16:47,JILI,Fortune Gems 2,5.00,5.00,-5.00
2025-06-22 06:16:51,JILI,Fortune Gems 2,7.50,7.50,-7.50
2025-06-22 06:16:54,JILI,Fortune Gems 2,3.00,3.00,-3.00
2025-06-22 06:16:57,JILI,Fortune Gems 2,3.00,3.00,-3.00
2025-06-22 06:16:58,JILI,Fortune Gems 2,3.00,3.00,-3.00
2025-06-22 06:17:04,JILI,Fortune Gems 2,3.00,3.00,23.40
2025-06-22 06:17:13,JILI,Fortune Gems 2,2.00,2.00,-2.00
2025-06-22 06:18:50,JILI,Fortune Gems,2.00,2.00,-2.00
2025-06-22 06:18:54,JILI,Fortune Gems,5.00,5.00,91.00
2025-06-22 06:19:05,JILI,Fortune Gems,3.00,3.00,-3.00
2025-06-22 06:19:13,JILI,Fortune Gems,1.50,1.50,8.50
2025-06-22 06:19:51,JILI,Fortune Gems 3,2.00,2.00,-2.00
2025-06-22 06:19:58,JILI,Fortune Gems 3,3.00,3.00,-3.00
