timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-08 06:01:49 AM,22.02,green,-10.05,-37.45,2.95,-30.55
2025-09-08 06:01:49 AM,21.85,red,20.31,-32.48,-20.6,-75.13
2025-09-08 06:02:00 AM,22.29,green,-66.87,22.2,-58.98,-6.08
2025-09-08 06:02:10 AM,24.64,green,-54.19,-52.96,-21.85,-33.45
2025-09-08 06:02:20 AM,26.03,green,-67.37,-23.71,-37.02,-27.75
2025-09-08 06:02:30 AM,27.78,green,-62.39,-17.89,-24.23,26.13
2025-09-08 06:02:40 AM,28.38,green,-70.67,9.18,-21.15,18.54
2025-09-08 06:02:50 AM,30.69,green,-46.11,-4.78,-64.07,21.04
2025-09-08 06:03:00 AM,29.97,red,-60.22,17.4,17.72,-40.66
2025-09-08 06:03:10 AM,28.17,red,26.14,-11.27,-37.36,-64.92
2025-09-08 06:03:20 AM,27.44,red,-15.69,-31.23,-51.11,-33.41
2025-09-08 06:03:30 AM,26.42,red,-13.26,-19.61,26.35,18.93
2025-09-08 06:03:40 AM,25.69,red,24.15,-61.67,-37.71,-15.46
2025-09-08 06:03:50 AM,24.76,red,-1.62,4.88,18.96,7.32
2025-09-08 06:04:00 AM,24.09,red,-41.21,-37.01,-35.17,-65.17
2025-09-08 06:04:10 AM,22.89,red,-60.82,-34.41,-41.34,-71.53
2025-09-08 06:04:20 AM,20.46,red,-66.98,-50.64,-13.85,-50.21
2025-09-08 06:04:30 AM,19.36,red,-61.37,-3.59,17.87,-58.11
2025-09-08 06:04:40 AM,17.32,red,-52.61,-9.47,-64.69,-50.52
2025-09-08 06:04:50 AM,16.71,red,-81.31,0.84,-65.89,-70.33
2025-09-08 06:05:00 AM,15.18,red,-22.87,-61.65,-84.05,-80.33
2025-09-08 06:05:10 AM,13.99,red,-7.78,11.04,-68.5,-29.33
2025-09-08 06:05:20 AM,12.93,red,-43.8,-47.47,8.86,-78.76
2025-09-08 06:05:30 AM,11.15,red,-66.49,-8.25,-27.45,-68.87
2025-09-08 06:05:40 AM,9.81,red,5.04,-87.39,9.3,-24.22
2025-09-08 06:05:50 AM,7.92,red,2.16,-41.44,-43.92,-31.47
2025-09-08 06:06:00 AM,19.06,green,6.87,-75.88,-25.47,-59.19
2025-09-08 06:06:10 AM,18.01,red,-76.08,-37.97,-81.45,-51.54
2025-09-08 06:06:20 AM,16.32,red,-48.15,-10.87,-9.56,-74.11
2025-09-08 06:06:30 AM,14.59,red,12.8,-77.45,-55.94,-22.85
2025-09-08 06:06:40 AM,14.0,red,-64.87,4.56,-3.25,-14.89
2025-09-08 06:06:50 AM,12.78,red,-38.45,-41.91,10.13,-61.42
2025-09-08 06:07:00 AM,12.17,red,-35.3,-48.47,7.9,-34.08
2025-09-08 06:07:10 AM,10.57,red,-50.2,-12.99,-5.28,4.03
2025-09-08 06:07:20 AM,8.49,red,-53.75,-3.91,-87.6,-45.5
2025-09-08 06:07:30 AM,23.32,green,-27.55,-38.39,-36.75,-62.32
2025-09-08 06:07:40 AM,21.29,red,-31.66,-7.22,-25.43,0.97
2025-09-08 06:07:50 AM,19.59,red,5.72,-46.14,1.72,-64.0
2025-09-08 06:08:00 AM,17.25,red,-12.54,-36.71,-73.42,-15.08
2025-09-08 06:08:10 AM,15.64,red,-67.6,-70.23,-24.72,-20.58
2025-09-08 06:08:20 AM,14.81,red,-40.67,-40.91,-35.08,-40.84
2025-09-08 06:08:30 AM,13.45,red,-23.72,-10.01,-72.35,7.34
2025-09-08 06:08:40 AM,12.79,red,-65.92,6.64,-63.63,-55.53
