timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-01 02:02:38 AM,46.57,red,-39.75,27.38,35.16,42.86
2025-08-01 02:03:18 AM,46.58,red,-23.4,10.52,31.33,9.84
2025-08-01 02:04:19 AM,46.59,red,-46.35,-28.32,36.96,16.77
2025-08-01 02:05:19 AM,46.57,red,-34.99,-4.85,8.35,46.52
2025-08-01 02:06:19 AM,46.55,red,39.0,4.58,27.68,-17.1
2025-08-01 02:07:00 AM,46.53,red,46.52,-36.69,5.59,-45.02
2025-08-01 02:08:00 AM,46.51,red,29.0,-14.1,36.5,33.56
2025-08-01 02:09:00 AM,46.49,red,40.46,9.89,1.84,-6.19
2025-08-01 02:10:01 AM,46.47,red,-36.08,43.19,10.36,-34.83
2025-08-01 02:11:01 AM,46.45,red,40.78,-43.27,-8.74,36.87
2025-08-01 02:12:09 AM,46.43,red,30.19,-6.99,-39.71,-52.87
2025-08-01 02:13:09 AM,46.41,red,-42.24,-44.78,-0.7,42.95
2025-08-01 02:14:09 AM,46.39,red,9.11,8.72,20.63,31.78
2025-08-01 02:15:00 AM,46.37,red,13.66,39.31,30.2,-21.09
2025-08-01 02:16:00 AM,46.41,red,12.56,9.75,40.2,39.47
2025-08-01 02:17:01 AM,46.45,red,39.03,22.18,-0.44,32.71
2025-08-01 05:53:58 AM,47.49,red,36.21,-41.76,-20.78,-46.71
2025-08-01 05:54:10 AM,47.47,red,8.23,-1.85,-26.29,11.92
2025-08-01 05:55:19 AM,47.45,red,-49.31,-28.8,1.71,42.1
2025-08-01 05:56:19 AM,47.48,red,-46.64,-47.33,-41.77,-48.8
2025-08-01 05:57:19 AM,47.52,red,45.07,30.72,36.46,-29.99
2025-08-01 05:58:20 AM,47.56,red,-30.07,24.54,12.98,25.52
2025-08-01 05:59:00 AM,47.6,red,-38.28,-45.74,-30.72,-24.41
