timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change
2025-06-12 18:26:59,66.14,,,+6.26%,+8.41%,+2%,-0.1%
2025-06-12 18:27:05,45.34,,,+4.97%,+5.17%,-1.36%,-4.13%
2025-06-12 18:27:10,48.16,,,-9.58%,-9.02%,-8.05%,+8.07%
2025-06-12 18:27:17,29.38,,,-2.66%,-2.85%,+5.15%,+3.93%
2025-06-12 18:27:23,40.59,,,+0.82%,+6.13%,-2.36%,+8.19%
2025-06-12 18:27:29,83.84,,,+7.32%,-9.6%,+0.71%,-2.44%
2025-06-12 18:27:35,85.75,,,+8.96%,-2.85%,+0.5%,+6.48%
2025-06-12 18:27:41,38.15,,,+8.09%,+8.91%,+2.65%,-6.71%
2025-06-12 18:27:47,83.23,,,+8.04%,+0.04%,-5.13%,+8.46%
2025-06-12 18:27:55,62.32,,,+9.85%,-6.33%,-8.59%,-2.7%
2025-06-12 18:28:01,66.22,,,+0.98%,+7.13%,-6.67%,-7.12%
2025-06-12 18:28:09,47.65,,,-8.57%,+7.56%,-1.9%,-4.14%
2025-06-12 18:28:16,22.9,,,-6.23%,+1.32%,+5.57%,-3.76%
2025-06-12 18:28:22,76.29,,,+0.5%,-2.61%,-9.43%,+9.53%
2025-06-12 18:28:31,46.16,,,-5.58%,+9.38%,-3.33%,+6.51%
2025-06-12 18:28:43,31.52,,,-6.76%,-5.6%,-8.19%,+4.04%
2025-06-12 18:28:51,9.98,,,+5.1%,+7.33%,-9.76%,+1.76%
2025-06-12 18:32:09,11.24,,,-3.9%,+9.46%,+1.92%,-1.44%
2025-06-12 18:32:16,56.28,,,-5.74%,-8.7%,+2.8%,-1.22%
2025-06-12 18:32:24,19.58,,,-5.98%,-5.47%,+8.22%,+1.74%
2025-06-12 18:32:32,86.01,,,+3.37%,-8.12%,+0.42%,+7.23%
2025-06-12 18:32:38,75.75,,,+1.9%,+5.73%,-5.45%,+5.5%
2025-06-12 18:32:49,9.5,,,-0.57%,-1.71%,+9.63%,+6.89%
2025-06-12 18:32:59,25.3,,,-1.72%,+8.77%,-0.17%,-1.22%
2025-06-12 18:33:05,59.01,,,-5.3%,+1.68%,-6.88%,-6.95%
2025-06-12 18:33:14,87.15,,,-6.13%,+4.56%,+5.81%,-9.61%
2025-06-12 18:33:24,29.7,,,+4.35%,-0.72%,+2.9%,-2.2%
2025-06-12 18:33:35,11.92,,,+9.46%,+0.97%,-4.81%,-4.98%
2025-06-12 18:33:41,60.07,,,+3.63%,+6.34%,+6.7%,-6.92%
2025-06-12 18:33:47,43.01,,,-2.45%,+1.39%,+8.15%,-3.29%
2025-06-12 18:33:54,13.23,,,-1.18%,-6.39%,+3.14%,-8.89%
2025-06-12 18:34:00,47.45,,,-3.27%,-6.73%,-5.88%,-0.44%
2025-06-12 18:34:11,33.53,,,+9.66%,+5.59%,-5.12%,+9.98%
2025-06-12 18:34:19,62.84,,,-9.16%,+5.11%,+1.99%,-2.85%
