timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-08 08:05:30 AM,28.72,green,-54.43,3.88,-45.1,13.92
2025-09-08 08:05:30 AM,30.07,green,-34.42,-41.7,-55.24,-37.22
2025-09-08 08:05:41 AM,30.39,green,-65.94,17.21,24.76,-68.62
2025-09-08 08:05:51 AM,32.52,green,-15.76,-13.6,-15.36,18.94
2025-09-08 08:06:01 AM,33.75,green,33.3,-19.32,6.92,-19.41
2025-09-08 08:06:11 AM,33.87,green,-17.08,-30.48,-7.41,-27.33
2025-09-08 08:06:21 AM,36.1,green,-29.73,-19.46,-59.55,-47.26
2025-09-08 08:06:31 AM,37.13,green,31.04,-55.72,-19.74,-45.57
2025-09-08 08:06:41 AM,39.55,green,20.84,-53.48,26.17,3.78
2025-09-09 05:01:20 PM,94.26,green,86.36,-1.06,84.47,20.49
2025-09-09 05:01:20 PM,96.73,green,63.47,26.2,37.72,27.1
2025-09-09 05:01:31 PM,98.35,green,29.05,38.11,44.48,66.07
2025-09-09 05:01:41 PM,100,green,44.77,71.13,9.52,27.52
2025-09-09 05:01:51 PM,38.16,red,-30.89,-22.7,8.18,8.99
2025-09-09 05:02:01 PM,40.63,green,-43.22,11.17,1.56,-14.59
2025-09-09 05:02:11 PM,42.85,green,29.68,-6.31,17.32,30.74
2025-09-09 05:02:21 PM,45.26,green,-28.02,-26.56,37.79,-0.28
2025-09-09 05:02:32 PM,47.48,green,-8.11,34.14,45.44,-17.4
2025-09-09 05:02:42 PM,49.27,green,26.03,33.87,-25.43,44.58
2025-09-09 05:02:51 PM,51.02,green,13.24,43.47,-44.46,-6.99
2025-09-09 05:03:01 PM,53.5,green,-7.4,-13.46,1.4,10.8
2025-09-09 05:03:11 PM,55.71,green,0.75,-43.43,-26.37,52.39
2025-09-09 05:03:21 PM,55.45,red,4.07,32.44,22.31,24.48
2025-09-09 05:03:31 PM,57.85,green,4.66,-24.26,-28.36,-36.18
