timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 11:43:48 PM,71.83,red,-8.52,-5.77,9.91,10.53
2025-07-28 11:44:09 PM,71.88,red,-23.56,18.08,20.63,33.97
2025-07-28 11:45:09 PM,71.86,red,9.81,55.28,-16.3,50.2
2025-07-28 11:46:10 PM,71.84,red,-0.38,67.13,-27.1,35.86
2025-07-28 11:47:09 PM,71.82,red,10.85,69.38,18.98,-16.07
2025-07-28 11:48:00 PM,71.8,red,-13.37,21.81,17.48,49.05
2025-07-28 11:49:00 PM,71.78,red,20.7,55.2,-0.14,18.5
2025-07-28 11:50:08 PM,71.76,red,67.33,12.32,55.43,63.36
2025-07-28 11:51:08 PM,71.74,red,-5.9,-4.22,-27.55,22.19
2025-07-28 11:52:09 PM,71.72,red,-2.01,40.88,21.88,52.23
2025-07-28 11:53:10 PM,71.7,red,23.98,25.59,9.39,-7.78
