timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-29 07:15:51 PM,32.06,red,7.72,-32.35,-13.54,2.49
2025-07-29 07:16:18 PM,32.08,red,7.15,13.0,-66.08,17.34
2025-07-29 07:17:08 PM,32.11,red,14.13,-51.41,-42.9,23.94
2025-07-29 07:18:08 PM,32.16,red,14.63,-16.74,-15.01,-59.98
2025-07-29 07:19:09 PM,32.15,red,-46.31,-61.19,22.49,-40.08
2025-07-29 07:20:09 PM,32.21,red,27.98,-51.75,-15.15,-49.26
2025-07-29 07:21:09 PM,32.25,red,27.9,29.4,28.03,-37.31
2025-07-29 07:22:10 PM,32.29,red,-52.02,-45.55,-21.42,29.03
2025-07-29 07:23:09 PM,32.32,red,-49.09,-34.51,-66.38,-35.51
2025-07-29 07:24:10 PM,32.34,red,-7.4,15.38,-43.47,-50.64
2025-07-29 07:25:19 PM,32.39,red,31.78,-60.94,-12.29,-62.38
2025-07-29 07:26:10 PM,32.37,red,-51.19,21.34,-13.39,4.23
2025-07-29 07:27:18 PM,32.35,red,-53.62,-9.22,-37.62,11.8
2025-07-29 07:29:38 PM,32.31,red,-65.12,14.0,22.03,-7.11
2025-07-29 07:30:08 PM,32.29,red,-38.46,-19.54,-51.43,17.4
2025-07-29 07:31:08 PM,32.27,red,20.0,-46.47,-46.88,-26.5
2025-07-29 07:32:09 PM,32.25,red,-4.73,-58.77,-49.47,-21.76
2025-07-29 07:33:09 PM,32.23,red,-30.15,-61.07,-54.59,-60.73
2025-07-29 07:34:09 PM,32.21,red,-56.34,0.66,14.58,-1.86
2025-07-29 07:35:08 PM,32.19,red,-10.77,17.87,16.76,8.92
2025-07-29 07:36:09 PM,32.17,red,7.42,-12.0,-13.4,-54.45
2025-07-29 07:37:10 PM,32.15,red,-39.0,17.67,11.2,-28.93
2025-07-29 07:38:11 PM,32.13,red,11.07,-6.41,-63.1,2.51
2025-07-29 07:39:10 PM,32.11,red,-50.64,-62.67,-14.03,-9.78
2025-07-29 07:40:18 PM,32.09,red,25.04,-30.64,-60.98,9.33
2025-07-29 07:41:00 PM,32.07,red,13.44,7.38,-5.61,-0.8
2025-07-29 07:42:00 PM,32.05,red,-44.22,16.96,-52.61,-60.75
2025-07-29 07:43:00 PM,32.03,red,26.28,-54.61,-17.23,-2.7
2025-07-29 07:44:00 PM,32.01,red,-41.42,-20.99,6.55,8.6
2025-07-29 07:45:08 PM,31.99,red,-13.38,-43.91,8.03,-15.16
2025-07-29 07:46:09 PM,31.97,red,-12.1,24.84,15.71,-16.65
2025-07-29 07:47:09 PM,31.95,red,-22.38,-61.06,-58.37,-14.86
2025-07-29 07:48:08 PM,31.93,red,-63.19,-34.37,-23.59,12.37
2025-07-29 07:49:09 PM,31.91,red,-66.53,1.08,-37.43,-51.83
2025-07-29 07:50:09 PM,31.95,red,-28.62,-55.11,-26.82,15.76
2025-07-29 07:51:09 PM,31.99,red,-18.31,-65.89,-30.4,-33.77
2025-07-29 07:52:09 PM,32.02,red,-13.29,-52.46,18.39,-21.54
2025-07-29 07:53:18 PM,32.07,red,28.93,8.96,-1.28,18.74
2025-07-29 07:54:00 PM,32.12,red,-35.1,-40.53,-20.52,-8.69
2025-07-29 07:55:00 PM,32.1,red,-11.33,-62.47,-9.46,-40.77
2025-07-29 07:56:00 PM,32.08,red,-4.69,-6.78,-62.95,-28.26
2025-07-29 07:57:08 PM,32.06,red,-60.89,-35.25,-19.6,-2.46
2025-07-29 07:58:00 PM,32.04,red,-24.47,-61.77,-52.01,-36.74
2025-07-29 07:59:08 PM,32.02,red,-38.57,-50.02,-14.22,-5.55
2025-07-29 08:00:08 PM,32.0,red,7.06,5.2,-63.66,-10.73
2025-07-29 08:01:09 PM,31.98,red,-3.01,-64.61,15.07,4.6
2025-07-29 08:02:09 PM,31.96,red,-17.69,-21.8,-3.67,-0.52
2025-07-29 08:03:08 PM,31.94,red,23.73,-18.25,-3.51,-33.45
2025-07-29 08:04:08 PM,31.92,red,-33.04,-17.17,-33.25,-22.86
2025-07-29 08:05:09 PM,31.9,red,-38.89,-4.1,3.42,-8.15
2025-07-29 08:06:18 PM,31.92,red,11.39,14.89,27.52,-22.28
2025-07-29 08:07:00 PM,31.95,red,-33.02,-12.59,-0.52,-27.43
2025-07-29 08:08:00 PM,31.97,red,5.97,-19.91,-26.37,17.46
2025-07-29 08:09:01 PM,31.98,red,-21.35,28.98,12.73,13.51
2025-07-29 08:10:19 PM,32.02,red,-35.6,-30.4,-24.81,19.73
2025-07-29 08:11:08 PM,32.05,red,-22.33,22.51,23.9,25.44
2025-07-29 08:12:08 PM,32.08,red,-42.79,12.4,-58.42,-52.28
2025-07-29 08:13:09 PM,32.12,red,18.81,-11.04,-29.72,-49.82
2025-07-29 08:14:09 PM,32.16,red,-40.89,-58.95,-29.16,-51.58
2025-07-29 08:15:10 PM,32.18,red,-65.61,-3.55,-34.32,27.47
2025-07-29 08:16:01 PM,32.2,red,-44.89,-29.91,-5.09,25.58
2025-07-29 08:17:08 PM,32.23,red,-3.32,-25.17,-48.6,-20.81
2025-07-29 08:18:08 PM,32.27,red,30.52,-29.08,8.72,14.95
2025-07-29 08:19:08 PM,32.31,red,-3.97,-12.97,-8.35,19.32
2025-07-29 08:20:09 PM,32.29,red,10.2,-56.96,29.09,-63.3
2025-07-29 08:21:09 PM,32.27,red,-2.89,13.45,21.81,-29.5
2025-07-29 08:22:09 PM,32.25,red,-9.56,8.12,-51.92,-41.64
2025-07-29 08:23:08 PM,32.23,red,-58.21,-26.18,-1.36,30.27
2025-07-29 08:24:09 PM,32.21,red,-66.49,-54.92,4.92,-10.12
2025-07-29 08:25:09 PM,32.19,red,6.2,-60.26,-61.14,-38.02
2025-07-29 08:26:09 PM,32.17,red,-16.92,-10.48,-52.35,7.58
2025-07-29 08:27:09 PM,32.15,red,-1.44,-57.21,15.42,16.99
2025-07-29 08:28:09 PM,32.13,red,-6.45,2.21,-30.53,-17.2
2025-07-29 08:29:09 PM,32.11,red,-54.04,-49.07,23.82,-42.91
2025-07-29 08:30:10 PM,32.09,red,31.48,-55.54,-45.81,-49.63
2025-07-29 08:31:10 PM,32.07,red,-18.83,-56.59,9.69,-34.46
2025-07-29 08:32:19 PM,32.05,red,-3.28,-32.59,-29.07,-24.21
2025-07-29 08:33:11 PM,32.03,red,-5.89,0.11,-27.09,24.85
2025-07-29 08:34:19 PM,32.01,red,-64.58,30.9,-39.18,21.21
2025-07-29 08:35:11 PM,31.99,red,-61.97,-10.86,1.66,31.18
2025-07-29 08:36:19 PM,32.04,red,2.13,-26.25,-27.31,-20.51
2025-07-29 08:37:11 PM,32.07,red,3.04,-35.54,-13.9,14.64
2025-07-29 08:38:19 PM,32.12,red,-39.02,-47.38,13.23,-5.37
2025-07-29 08:39:18 PM,32.17,red,-4.36,-50.51,-35.83,-51.54
2025-07-29 08:40:00 PM,32.22,red,22.16,13.44,-62.97,-57.44
2025-07-29 08:41:08 PM,32.25,red,-60.89,6.79,10.62,8.53
2025-07-29 08:42:08 PM,32.3,red,11.33,6.48,4.09,17.46
2025-07-29 08:43:09 PM,32.32,red,-8.84,19.4,-18.62,-57.09
2025-07-29 08:44:00 PM,32.35,red,-51.89,21.0,-62.99,-10.04
2025-07-29 08:45:08 PM,32.38,red,-46.4,-30.14,-47.52,-11.12
2025-07-29 08:46:09 PM,32.41,red,-23.78,-33.58,-29.96,28.89
2025-07-29 08:47:09 PM,32.42,red,-9.41,25.07,18.3,-15.09
2025-07-29 08:48:09 PM,32.41,red,-63.18,-45.26,-11.84,0.24
2025-07-29 08:49:09 PM,32.43,red,-5.75,-49.66,-9.44,-28.1
2025-07-29 08:50:09 PM,32.43,red,2.22,-45.39,16.7,-49.12
2025-07-29 08:51:09 PM,32.47,red,0.1,-9.65,-0.7,17.33
2025-07-29 08:52:19 PM,32.51,red,20.1,-9.0,-3.19,20.91
2025-07-29 08:53:08 PM,32.54,red,29.35,-27.23,-48.06,3.67
2025-07-29 08:54:09 PM,32.58,red,-30.64,-42.72,-60.69,-34.08
2025-07-29 08:55:09 PM,32.61,red,-40.95,-10.35,-22.25,28.07
2025-07-29 08:56:09 PM,32.59,red,-38.93,-23.53,-23.58,-58.6
2025-07-29 08:57:08 PM,32.59,red,-56.85,-2.63,8.41,-57.02
2025-07-29 08:58:09 PM,32.59,red,-49.89,21.55,1.07,-43.37
2025-07-29 08:59:09 PM,32.63,red,20.01,-56.23,-32.92,-41.59
2025-07-29 09:00:11 PM,32.64,red,12.85,-65.34,-43.75,7.17
2025-07-29 09:01:08 PM,32.66,red,-49.73,-48.96,8.46,-36.49
2025-07-29 09:02:00 PM,32.69,red,-27.51,-30.83,22.05,-37.69
2025-07-29 09:03:08 PM,32.69,red,25.02,-18.26,-6.83,-29.27
2025-07-29 09:04:09 PM,32.73,red,-57.23,-46.43,-9.71,-29.33
2025-07-29 09:05:08 PM,32.76,red,-34.61,-50.36,24.01,32.13
