timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-09-08 02:52:19 AM,42.35,green,-12.61,30.72,0.4,29.32
2025-09-08 02:52:19 AM,44.82,green,-14.35,-7.53,19.5,-9.23
2025-09-08 02:52:30 AM,45.69,green,13.13,-25.18,6.29,40.28
2025-09-08 02:52:40 AM,47.51,green,46.41,31.08,-40.35,-18.73
2025-09-08 02:52:50 AM,47.75,green,-46.4,17.63,29.28,35.65
2025-09-08 02:53:00 AM,48.39,green,32.45,-45.29,-36.85,13.58
2025-09-08 02:53:10 AM,50.57,green,37.58,28.71,-38.79,21.82
2025-09-08 02:53:20 AM,50.25,red,14.27,-5.57,46.62,46.85
2025-09-08 02:53:30 AM,50.08,red,21.95,-5.67,30.73,-9.43
2025-09-08 02:53:40 AM,50.62,green,-42.56,-17.23,36.26,26.35
2025-09-08 02:53:50 AM,50.61,red,2.31,-48.61,5.21,1.59
2025-09-08 02:54:00 AM,51.99,green,-33.2,46.02,-43.63,-19.7
2025-09-08 02:54:10 AM,53.75,green,40.95,40.32,-0.43,9.6
2025-09-08 02:54:20 AM,55.24,green,-20.72,0.77,2.06,-30.88
2025-09-08 02:54:30 AM,55.32,green,23.7,37.52,27.6,-37.57
2025-09-08 02:54:40 AM,55.09,red,-37.02,-11.83,-44.55,-20.39
2025-09-08 02:54:50 AM,55.57,green,11.02,36.81,3.86,8.97
2025-09-08 02:55:00 AM,57.96,green,-0.51,-3.88,-19.24,41.4
