timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 08:52:38 PM,38.97,red,-14.41,-22.47,-42.42,-29.8
2025-07-28 08:53:20 PM,38.95,red,16.86,-30.97,38.64,9.36
2025-07-28 08:54:01 PM,38.93,red,16.31,32.39,37.04,-28.32
2025-07-28 08:55:00 PM,38.91,red,-49.32,-24.65,-31.08,-37.91
2025-07-28 08:56:01 PM,38.92,red,-15.03,38.37,-26.91,-1.96
2025-07-28 08:57:09 PM,38.94,red,-52.38,-56.64,-5.22,-35.35
2025-07-28 08:58:00 PM,38.98,red,-11.83,13.62,-9.73,32.61
2025-07-28 08:59:00 PM,39.0,red,-11.26,-19.4,-16.32,-52.14
2025-07-28 09:00:19 PM,38.98,red,-55.69,-36.75,-16.35,16.17
2025-07-28 09:01:00 PM,38.96,red,7.32,-27.07,22.62,31.22
