timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-26 05:51:00 AM,17.8,red,-78.45,-36.71,-66.16,-41.06
2025-08-26 05:51:09 AM,15.68,red,-75.83,-73.83,-70.74,-9.59
2025-08-26 05:51:20 AM,13.26,red,12.01,-76.69,-34.39,-77.29
2025-08-26 05:51:30 AM,12.71,red,-7.56,-51.95,-1.41,-16.46
2025-08-26 05:51:40 AM,11.05,red,-1.5,-11.47,-8.21,-7.48
2025-08-26 05:51:50 AM,10.24,red,-50.22,-68.06,4.13,-15.67
2025-08-26 05:52:00 AM,8.68,red,-68.15,-52.1,-11.79,-26.47
2025-08-26 05:52:10 AM,23.14,green,19.56,-67.44,6.43,11.33
2025-08-26 05:52:20 AM,21.9,red,-54.39,9.89,-27.22,18.15
2025-08-26 05:52:30 AM,21.16,red,14.52,-62.27,19.46,-65.95
2025-08-26 05:52:40 AM,20.43,red,-29.9,-38.72,-41.62,-16.9
2025-08-26 05:52:50 AM,18.26,red,-69.52,15.47,-22.23,-30.53
2025-08-26 05:53:00 AM,17.37,red,-70.22,-12.32,14.48,-32.7
2025-08-26 05:53:10 AM,16.15,red,-15.67,-37.41,10.58,-30.31
2025-08-26 05:53:20 AM,14.5,red,1.82,-58.9,-21.14,-78.68
2025-08-26 05:53:30 AM,13.3,red,-7.3,-26.07,-27.98,12.94
2025-08-26 05:53:40 AM,12.28,red,-25.27,-43.42,-15.52,6.78
2025-08-26 05:53:50 AM,11.65,red,9.87,-3.22,-78.34,9.19
2025-08-26 05:54:00 AM,11.11,red,-15.97,3.29,-20.42,-70.69
2025-08-26 05:54:10 AM,9.98,red,-11.93,-1.34,-1.74,-28.03
2025-08-26 05:54:20 AM,8.05,red,-45.04,-51.42,-23.61,-21.99
2025-08-26 05:54:30 AM,20.21,green,-68.81,-30.31,-16.81,-79.59
2025-08-26 05:54:40 AM,19.5,red,-6.59,-25.08,-0.29,-26.71
2025-08-26 05:54:50 AM,18.99,red,-38.46,-77.5,-17.98,2.68
2025-08-26 05:55:00 AM,16.82,red,2.73,-66.91,-55.34,-21.35
2025-08-26 05:55:10 AM,15.71,red,-24.27,-4.13,-41.39,-15.31
2025-08-26 05:55:20 AM,14.0,red,-8.23,-62.56,-20.13,-31.11
2025-08-26 05:55:30 AM,13.15,red,12.27,-4.29,-77.92,-55.86
2025-08-26 05:55:40 AM,11.81,red,-9.59,-43.45,-72.22,10.56
2025-08-26 05:55:50 AM,10.6,red,-63.61,-52.78,-80.55,-70.28
2025-08-26 05:56:00 AM,8.17,red,-91.2,-61.73,1.42,-10.52
2025-08-26 05:56:10 AM,37.78,green,-39.54,21.72,13.02,15.76
2025-08-26 05:56:20 AM,35.94,red,27.61,-10.86,-34.89,2.01
2025-08-26 05:56:30 AM,35.11,red,5.14,8.23,-33.31,32.96
2025-08-26 05:56:40 AM,33.54,red,-37.21,29.5,-21.92,-59.99
2025-08-26 05:56:50 AM,31.42,red,-38.1,-5.31,-44.75,-2.76
2025-08-26 05:57:00 AM,30.83,red,-24.57,-66.06,-3.25,-51.38
2025-08-26 05:57:10 AM,28.97,red,-29.26,23.48,-49.43,20.59
2025-08-26 05:57:20 AM,26.68,red,-62.44,-27.16,-72.74,-47.11
2025-08-26 05:57:30 AM,25.69,red,-19.27,-13.37,-58.54,-65.62
2025-08-26 05:57:40 AM,23.27,red,-59.28,-36.96,-26.63,-44.35
2025-08-26 05:57:50 AM,21.03,red,-74.12,-78.89,-65.89,1.77
2025-08-26 05:58:00 AM,18.65,red,-53.07,-62.84,-63.25,-56.24
2025-08-26 05:58:10 AM,16.59,red,-18.86,-77.9,12.09,-38.38
2025-08-26 05:58:20 AM,14.49,red,-26.59,-67.93,-61.63,0.66
2025-08-26 05:58:30 AM,12.4,red,4.56,-75.38,-40.74,-7.6
2025-08-26 05:58:40 AM,10.81,red,-85.4,-83.48,-23.64,-44.79
2025-08-26 05:58:50 AM,9.05,red,-90.83,-13.23,-26.33,-43.74
2025-08-26 05:59:00 AM,8.31,red,-51.64,-71.11,-65.99,-87.76
2025-08-26 05:59:10 AM,48.88,green,-4.28,-34.95,-26.31,6.72
2025-08-26 05:59:20 AM,47.9,red,-27.81,7.73,-27.0,8.23
2025-08-26 05:59:30 AM,45.79,red,-20.55,-1.09,-41.72,-26.03
2025-08-26 05:59:40 AM,44.94,red,9.44,4.68,41.26,-13.23
2025-08-26 05:59:50 AM,42.68,red,-15.47,-25.69,10.45,11.57
2025-08-26 06:00:00 AM,41.93,red,-39.55,-53.18,23.5,35.42
2025-08-26 06:00:10 AM,41.11,red,-25.15,-29.01,-9.61,-37.74
2025-08-26 06:00:20 AM,40.41,red,-29.4,21.52,36.82,29.26
2025-08-26 06:00:30 AM,39.37,red,-2.77,-52.73,33.86,-57.42
2025-08-26 06:00:40 AM,36.88,red,-52.36,-23.94,0.13,-2.68
2025-08-26 06:00:50 AM,34.93,red,-43.66,-28.72,-17.58,3.85
2025-08-26 06:01:00 AM,32.78,red,-13.84,26.68,-3.74,5.46
2025-08-26 06:01:10 AM,30.65,red,-43.36,-17.41,22.07,15.7
2025-08-26 06:05:30 AM,50.62,green,-14.54,-22.68,25.27,29.85
2025-08-26 06:05:30 AM,49.09,green,4.87,-31.32,-37.84,-5.46
2025-08-26 06:05:50 AM,51.51,green,43.36,16.58,35.63,-18.71
2025-08-26 06:06:00 AM,51.88,green,-5.51,-4.66,-8.13,49.09
2025-08-26 06:06:10 AM,52.05,green,33.75,28.78,-3.52,14.32
2025-08-26 06:06:20 AM,53.58,green,3.21,6.22,-10.15,-27.32
2025-08-26 06:06:30 AM,55.78,green,-37.99,2.76,13.63,-11.99
2025-08-26 06:06:40 AM,58.15,green,-40.31,6.32,16.39,-7.93
2025-08-26 06:06:50 AM,60.3,green,60.29,8.13,46.48,32.43
2025-08-26 06:07:00 AM,60.74,green,5.41,-35.6,34.62,16.51
2025-08-26 06:07:10 AM,61.4,green,14.77,38.87,29.8,49.47
2025-08-26 06:07:20 AM,61.9,green,2.65,14.45,-33.54,51.23
2025-08-26 06:07:30 AM,62.58,green,-32.73,43.84,8.9,-25.49
2025-08-26 06:07:40 AM,63.53,green,46.34,19.44,3.12,-2.55
2025-08-26 06:07:50 AM,65.93,green,-10.19,14.14,47.58,-20.55
2025-08-26 06:08:00 AM,66.77,green,-28.57,2.42,44.65,21.51
2025-08-26 06:08:10 AM,67.11,green,66.97,-2.21,51.13,29.18
2025-08-26 06:08:20 AM,66.77,red,-27.87,-32.81,-24.18,61.46
