timestamp,value,5s_change,1m_change,10m_change,1h_change,3h_change,6h_change,10s_change,30s_change,2m_change,3m_change,4m_change,5m_change
2025-06-12 18:26:59,66.14,,,,,,,,,,,,
2025-06-12 18:27:05,45.34,-31.45%,,,,,,,,,,,
2025-06-12 18:27:10,48.16,6.22%,,,,,,-27.18%,,,,,
2025-06-12 18:27:17,29.38,-39.00%,,,,,,-35.20%,,,,,
2025-06-12 18:27:23,40.59,38.16%,,,,,,-15.72%,,,,,
2025-06-12 18:27:29,83.84,106.55%,,,,,,185.36%,26.76%,,,,
2025-06-12 18:27:35,85.75,2.28%,,,,,,111.26%,89.13%,,,,
2025-06-12 18:27:41,38.15,-55.51%,,,,,,-54.50%,-20.78%,,,,
2025-06-12 18:27:47,83.23,118.17%,,,,,,-2.94%,183.29%,,,,
2025-06-12 18:27:55,62.32,-25.12%,,,,,,63.36%,53.54%,,,,
2025-06-12 18:28:01,66.22,6.26%,0.12%,,,,,-20.44%,-21.02%,,,,
2025-06-12 18:28:09,47.65,-28.04%,5.09%,,,,,-23.54%,-44.43%,,,,
2025-06-12 18:28:16,22.9,-51.94%,-52.45%,,,,,-65.42%,-39.97%,,,,
2025-06-12 18:28:22,76.29,233.14%,159.67%,,,,,60.10%,-8.34%,,,,
2025-06-12 18:28:31,46.16,-39.49%,-44.94%,,,,,101.57%,-30.29%,,,,
2025-06-12 18:28:43,31.52,-31.72%,-17.38%,,,,,-31.72%,-33.85%,,,,
2025-06-12 18:28:51,9.98,-68.34%,-88.01%,,,,,-78.38%,-56.42%,,,,
2025-06-12 18:32:09,11.24,12.63%,12.63%,,,,,12.63%,12.63%,12.63%,12.63%,-76.41%,-75.21%
2025-06-12 18:32:16,56.28,400.71%,463.93%,,,,,463.93%,463.93%,463.93%,463.93%,145.76%,16.86%
2025-06-12 18:32:24,19.58,-65.21%,96.19%,,,,,74.20%,96.19%,96.19%,96.19%,-74.33%,-51.76%
2025-06-12 18:32:32,86.01,339.27%,761.82%,,,,,52.83%,761.82%,761.82%,761.82%,86.33%,2.59%
2025-06-12 18:32:38,75.75,-11.93%,659.02%,,,,,286.87%,659.02%,659.02%,659.02%,64.10%,-11.66%
2025-06-12 18:32:49,9.5,-87.46%,-4.81%,,,,,-87.46%,-83.12%,-4.81%,-4.81%,-69.86%,-88.59%
2025-06-12 18:32:59,25.3,166.32%,153.51%,,,,,166.32%,29.21%,153.51%,153.51%,153.51%,-59.40%
2025-06-12 18:33:05,59.01,133.24%,491.28%,,,,,521.16%,-31.39%,491.28%,491.28%,491.28%,-10.89%
2025-06-12 18:33:14,87.15,47.69%,675.36%,,,,,244.47%,15.05%,773.25%,773.25%,773.25%,82.90%
2025-06-12 18:33:24,29.7,-65.92%,51.69%,,,,,-65.92%,212.63%,197.60%,197.60%,197.60%,-61.07%
2025-06-12 18:33:35,11.92,-59.87%,-86.14%,,,,,-59.87%,-79.80%,19.44%,19.44%,19.44%,-74.18%
2025-06-12 18:33:41,60.07,403.94%,-20.70%,,,,,102.26%,1.80%,501.90%,501.90%,501.90%,30.13%
2025-06-12 18:33:47,43.01,-28.40%,-43.22%,,,,,260.82%,-50.65%,330.96%,330.96%,330.96%,36.45%
