timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-26 02:40:04 AM,56.07,red,28.81,0.53,-33.8,-5.05
2025-07-26 02:41:00 AM,56.05,red,-18.96,6.78,-5.24,-20.57
2025-07-26 02:42:10 AM,56.03,red,10.46,37.65,21.32,-32.91
2025-07-26 02:43:01 AM,56.01,red,40.72,-43.57,4.81,40.37
2025-07-26 02:44:11 AM,55.99,red,17.86,-3.13,-19.79,-20.06
2025-07-26 02:45:03 AM,56.01,red,-17.54,-16.36,47.07,-10.39
2025-07-26 02:46:21 AM,56.01,red,-14.28,46.29,-19.1,8.88
2025-07-26 02:47:02 AM,56.03,red,50.5,-4.71,-4.68,22.73
2025-07-26 02:48:01 AM,56.04,red,30.49,-32.62,-14.76,38.65
2025-07-26 02:49:01 AM,56.07,red,6.89,-40.67,29.43,37.55
2025-07-26 02:50:01 AM,56.11,red,6.75,15.11,14.29,0.33
2025-07-26 02:51:01 AM,56.09,red,47.43,19.8,51.97,4.59
2025-07-26 02:52:11 AM,56.07,red,20.04,13.17,28.65,54.61
2025-07-26 02:53:01 AM,56.05,red,16.57,55.92,-26.86,10.41
2025-07-26 02:54:21 AM,56.03,red,11.27,-19.77,-19.07,43.17
2025-07-26 02:55:12 AM,56.04,red,-7.09,17.26,-28.69,43.83
2025-07-26 02:56:20 AM,56.09,red,-29.62,43.33,-19.6,-18.11
2025-07-26 02:57:00 AM,56.14,red,9.04,52.05,-41.06,0.99
2025-07-26 02:58:20 AM,56.14,red,-6.24,-13.11,20.31,-14.33
2025-07-26 02:59:02 AM,56.18,red,35.86,14.1,30.73,44.14
2025-07-26 03:00:12 AM,56.2,red,50.38,31.08,52.18,29.26
2025-07-26 03:01:02 AM,56.25,red,-8.72,-19.25,23.17,-16.12
2025-07-26 03:02:13 AM,56.28,red,29.64,5.49,-42.31,-15.28
2025-07-26 03:03:01 AM,56.32,red,53.27,20.16,51.12,32.07
