timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-08-25 06:27:50 PM,58.83,green,-38.23,-31.13,36.83,-22.23
2025-08-25 06:27:50 PM,58.46,red,4.1,53.96,8.69,50.09
2025-08-25 06:28:00 PM,58.98,green,47.19,29.19,-13.64,-8.13
2025-08-25 06:28:10 PM,59.47,green,13.72,30.36,26.47,19.76
2025-08-25 06:28:20 PM,61.76,green,-12.79,33.85,18.05,7.43
2025-08-25 06:28:30 PM,61.7,red,50.29,-29.72,-26.42,-24.02
2025-08-25 06:28:40 PM,63.97,green,-10.71,56.43,-3.51,-1.06
2025-08-25 06:36:40 PM,52.81,green,-5.28,-26.73,-45.08,34.39
2025-08-26 11:25:19 AM,58.92,green,19.41,53.93,-26.93,-37.66
2025-08-26 11:25:19 AM,59.0,green,17.95,5.13,-9.53,-26.16
2025-08-26 11:25:30 AM,61.08,green,41.5,-22.24,17.08,-28.58
2025-08-26 11:25:40 AM,62.31,green,54.27,11.86,-2.64,-14.16
2025-08-26 11:30:10 AM,81.4,red,24.27,-4.31,-18.29,37.31
2025-08-26 11:30:10 AM,81.03,red,40.14,57.81,57.47,39.91
2025-08-26 11:31:50 AM,93.76,green,70.79,92.78,78.14,0.38
2025-08-26 11:33:30 AM,29.5,red,9.52,-45.0,-53.65,-1.73
2025-08-26 11:36:50 AM,52.55,green,-25.71,-15.95,20.92,17.37
2025-08-26 11:36:50 AM,53.77,green,-38.32,-0.55,52.0,51.5
2025-08-26 11:37:00 AM,55.11,green,-22.35,-4.82,3.21,10.61
2025-08-26 11:40:00 AM,70.3,red,54.31,40.93,-8.14,-11.39
2025-08-26 11:40:00 AM,72.42,green,69.47,51.18,15.81,65.02
2025-08-26 11:41:20 AM,80.97,green,75.18,71.38,3.33,61.58
2025-08-26 11:41:30 AM,82.46,green,24.68,4.41,61.31,-2.27
2025-08-26 11:41:40 AM,83.68,green,-11.5,-0.72,-8.64,-11.58
2025-08-26 11:44:40 AM,99.94,green,39.09,72.75,94.25,61.45
2025-08-26 11:44:49 AM,100,green,27.75,27.38,75.77,96.66
2025-08-26 06:08:10 PM,10.12,red,-58.68,-66.89,-32.72,-30.27
2025-08-26 06:15:40 PM,19.62,red,6.0,-23.75,-33.76,3.46
2025-08-26 06:16:40 PM,13.53,red,-49.15,-79.97,-52.83,-62.11
2025-08-26 06:16:50 PM,11.19,red,-20.59,-35.14,-19.14,-71.95
2025-08-26 06:20:10 PM,53.06,green,39.93,-31.52,18.74,-10.89
2025-08-26 06:30:00 PM,61.02,green,-22.72,-20.31,19.2,-18.09
2025-08-28 01:06:40 AM,35.68,green,-28.09,13.93,-11.03,23.84
2025-08-28 01:06:40 AM,36.72,green,6.85,2.09,23.33,-25.66
2025-08-28 01:06:51 AM,37.72,green,19.99,-0.24,-21.21,36.39
2025-08-28 01:07:02 AM,38.58,green,-23.3,27.16,-19.45,14.1
2025-08-28 01:07:12 AM,38.14,red,-14.54,-52.42,5.99,-44.34
