timestamp,jackpot_meter,color,10m,1h,3h,6h
2025-07-28 06:02:51 PM,51.93,red,-41.71,6.98,-13.36,-38.82
2025-07-28 06:03:10 PM,51.91,red,9.11,21.71,-39.61,21.04
2025-07-28 06:04:00 PM,51.89,red,-3.57,6.71,-36.63,-47.42
2025-07-28 06:05:08 PM,51.87,red,29.96,26.68,-43.86,45.85
2025-07-28 06:06:00 PM,51.85,red,8.44,-28.64,20.12,-37.84
2025-07-28 06:07:11 PM,51.83,red,3.83,-41.08,-26.85,23.92
2025-07-28 06:08:10 PM,51.81,red,14.27,44.1,11.92,-17.49
2025-07-28 06:09:08 PM,51.79,red,-42.21,37.39,-22.69,0.36
2025-07-28 06:10:08 PM,51.77,red,22.7,-47.96,-37.07,20.96
2025-07-28 06:11:10 PM,51.75,red,23.89,-11.02,15.24,9.96
2025-07-28 06:12:18 PM,51.73,red,6.26,51.32,-9.87,-39.72
2025-07-28 06:13:08 PM,51.71,red,-31.14,-45.81,-26.91,-31.08
2025-07-28 06:14:09 PM,51.69,red,0.71,30.43,0.61,-3.99
2025-07-28 06:15:00 PM,51.72,red,45.18,15.5,44.96,14.81
2025-07-28 06:16:08 PM,51.7,red,-44.29,45.96,-21.01,1.68
2025-07-28 06:17:11 PM,51.74,red,34.99,-24.22,0.37,-44.15
2025-07-28 06:18:00 PM,51.78,red,18.26,30.6,-39.34,-11.68
2025-07-28 06:19:01 PM,51.8,red,-7.62,32.13,-16.91,-42.49
2025-07-28 06:20:00 PM,51.83,red,-31.37,-27.63,49.7,3.92
2025-07-28 06:21:01 PM,51.81,red,-42.95,-38.06,41.83,-29.32
2025-07-28 06:22:09 PM,51.79,red,-46.86,29.61,34.3,-37.25
2025-07-28 06:23:00 PM,51.77,red,-40.04,32.84,36.6,-13.82
2025-07-28 06:24:01 PM,51.75,red,-3.11,-6.61,34.3,-1.35
2025-07-28 06:25:08 PM,51.73,red,42.27,-3.63,15.49,14.51
2025-07-28 06:26:09 PM,51.71,red,15.17,-10.16,10.78,9.74
2025-07-28 06:27:09 PM,51.69,red,4.32,-6.22,6.99,49.69
2025-07-28 06:28:00 PM,51.67,red,13.32,-34.91,16.86,-8.77
2025-07-28 06:29:08 PM,51.65,red,-42.47,-48.21,11.91,-22.38
2025-07-28 06:30:09 PM,51.63,red,36.94,30.17,-20.12,-4.97
2025-07-28 06:31:10 PM,51.61,red,21.2,47.68,-4.59,-29.11
2025-07-28 06:32:01 PM,51.59,red,46.26,-24.64,41.96,-39.3
2025-07-28 06:33:09 PM,51.57,red,-14.87,-33.04,-35.15,-29.5
2025-07-28 06:34:09 PM,51.55,red,-32.77,9.33,-8.39,-42.27
2025-07-28 06:35:00 PM,51.57,red,-7.75,44.04,-23.76,14.07
2025-07-28 06:36:01 PM,51.59,red,27.02,17.73,-4.26,-27.52
2025-07-28 06:37:09 PM,51.62,red,-24.69,23.32,45.52,-24.81
2025-07-28 06:38:08 PM,51.62,red,-32.18,8.4,39.93,-19.64
2025-07-28 06:39:00 PM,51.64,red,-8.41,48.2,-9.29,25.47
2025-07-28 06:40:01 PM,51.65,red,18.36,-19.01,43.44,-12.72
2025-07-28 06:41:08 PM,51.69,red,-40.8,39.16,-2.59,15.32
2025-07-28 06:42:09 PM,51.73,red,-47.72,-25.07,-27.62,3.4
2025-07-28 06:43:08 PM,51.76,red,-7.43,-12.56,30.24,11.98
2025-07-28 06:44:09 PM,51.8,red,26.47,-39.38,32.77,28.67
2025-07-28 06:45:10 PM,51.84,red,-30.25,51.56,-42.29,1.04
2025-07-28 06:46:18 PM,51.85,red,-26.22,30.14,10.77,-7.61
2025-07-28 06:47:00 PM,51.87,red,41.29,-19.69,-11.73,-15.85
2025-07-28 06:48:00 PM,51.89,red,50.09,45.65,-47.67,42.25
2025-07-28 06:49:09 PM,51.93,red,19.65,29.06,-2.89,-20.6
2025-07-28 06:50:01 PM,51.92,red,-40.2,-26.24,-14.0,-42.74
2025-07-28 06:51:01 PM,51.9,red,-32.41,-34.65,-3.73,-33.94
2025-07-28 06:52:09 PM,51.88,red,44.92,-18.46,35.45,-41.71
2025-07-28 06:53:00 PM,51.86,red,45.17,-41.03,38.71,16.33
2025-07-28 06:54:00 PM,51.84,red,-40.75,46.37,48.89,5.58
2025-07-28 06:55:09 PM,51.82,red,35.54,19.35,17.62,12.57
2025-07-28 06:56:28 PM,51.8,red,49.01,-0.88,-24.89,15.78
2025-07-28 06:57:09 PM,51.78,red,-25.81,-36.4,-10.82,49.32
2025-07-28 06:58:10 PM,51.76,red,-40.18,-19.66,35.46,-13.75
2025-07-28 06:59:11 PM,51.74,red,-15.13,27.47,-18.46,-3.02
2025-07-28 07:00:00 PM,51.72,red,-29.61,3.05,47.82,39.44
2025-07-28 07:01:00 PM,51.75,red,-3.14,24.1,-27.46,-29.14
2025-07-28 07:02:08 PM,51.8,red,44.49,23.92,-14.72,-22.15
2025-07-28 07:03:00 PM,51.83,red,-41.81,-40.41,-0.82,-14.44
2025-07-28 07:04:01 PM,51.87,red,26.43,15.57,-14.57,-18.83
2025-07-28 07:05:08 PM,51.85,red,-17.15,27.34,19.83,36.47
2025-07-28 07:06:09 PM,51.83,red,-9.32,-44.21,50.57,9.46
2025-07-28 07:07:10 PM,51.81,red,7.98,43.6,-28.92,-11.01
2025-07-28 07:08:01 PM,51.79,red,-4.85,-34.7,45.93,-42.74
